Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Electricity;Electricity;Nuclear; NUCLEAR ;4845.73;102.930986;707.88;60;0.846453;0;1;0;2;
Electricity;Electricity;Combined cycle gas turbine; CCGT ;802.5;20.32459833;183.79;25;0.958653846;0;1;0;1.00E+15;
Electricity;Electricity;Amonia combined cycle gas turbine; CCGT_AMMONIA ;802.5;20.32459833;183.79;25;0.6;0;1;0;1.00E+15;
Electricity;Electricity;Ultra-supercritical coal power plant; COAL_US ;2571.42;30.0225445;331.6;35;0.865396;0;1;0;0;
Electricity;Electricity;Intagrated gasification combined cycle with coal; COAL_IGCC ;3316.37;49.47283735;331.6;35;0.853432;0;1;0;0;
Electricity;Electricity;Photovoltaic; PV ;1083.93;12.37861446;2081.43;25;1;0;1;0;59.2;
Electricity;Electricity;Wind onshore; WIND_ONSHORE ;1101.18;12.80752941;622.85;30;1;0;1;0;10;
Electricity;Electricity;Wind offshore; WIND_OFFSHORE ;5219.54;36.31492615;622.85;30;1;0;1;0;6;
Electricity;Electricity;Hydro river; HYDRO_RIVER ;5044.92;50.4447982;1262.82;40;1;0;1;0;0.115;
Electricity;Electricity;Geothermal power plant; GEOTHERMAL ;8211.27;152.5472;24929.09;30;0.95;0;1;0;0;
Heat;Heat high temperature;Cogeneration gas (industry); IND_COGEN_GAS ;1484.44;95.41808193;1024.32;25;0.84745;0;1;0;1.00E+15;
Heat;Heat high temperature;Cogeneration wood (industry); IND_COGEN_WOOD ;1139.44;41.71767303;165.33;25;0.84745;0;1;0;1.00E+15;
Heat;Heat high temperature;Cogeneration waste (industry); IND_COGEN_WASTE ;3101.3;114.3299681;647.82;25;0.84745;0;1;0;1.00E+15;
Heat;Heat high temperature;Boiler gas (industry); IND_BOILER_GAS ;64.78;1.297874333;12.32;17;0.94715;0;1;0;1.00E+15;
Heat;Heat high temperature;Boiler wood (industry); IND_BOILER_WOOD ;126.7;2.533945126;28.87;17;0.8973;0;1;0;1.00E+15;
Heat;Heat high temperature;Boiler oil (industry); IND_BOILER_OIL ;60.34;1.297874333;12.32;17;0.94715;0;1;0;1.00E+15;
Heat;Heat high temperature;Boiler coal (industry); IND_BOILER_COAL ;126.7;2.533945126;48.18;17;0.8973;0;1;0;1.00E+15;
Heat;Heat high temperature;Boiler waste (industry); IND_BOILER_WASTE ;126.7;2.533945126;28.87;17;0.8973;0;1;0;1.00E+15;
Heat;Heat high temperature;Electrical resistors (industry); IND_DIRECT_ELEC ;360.04;1.633267784;1.47;15;0.94715;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Heat pump (DHN); DHN_HP_ELEC ;374.74;12.70710296;174.79;25;0.94715;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Cogeneration gas (DHN); DHN_COGEN_GAS ;1322.56;38.66892542;490.88;25;0.84745;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Cogeneration wood (DHN); DHN_COGEN_WOOD ;1139.44;41.71767303;165.33;25;0.84745;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Cogeneration waste (DHN); DHN_COGEN_WASTE ;3101.3;114.3299681;647.82;25;0.84745;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Cogeneration wet biomass (DHN); DHN_COGEN_WET_BIOMASS ;1449.03;117.9280709;1024;25;0.74775;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Cogeneration hydrolysis (DHN); DHN_COGEN_BIO_HYDROLYSIS ;4783.09;233.7190771;647.8;15;0.84745;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Boiler gas (DHN); DHN_BOILER_GAS ;64.78;1.297874333;12.32;17;0.94715;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Boiler wood (DHN); DHN_BOILER_WOOD ;126.7;2.533945126;28.87;17;0.8973;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Boiler oil (DHN); DHN_BOILER_OIL ;60.34;1.297874333;12.32;17;0.94715;0;1;0;1.00E+15;
Heat;Heat low temperature centralised;Geothermal (DHN); DHN_DEEP_GEO ;1567.16;58.71764706;808.76;30;0.84745;0;1;0;0;
Heat;Heat low temperature centralised;Solar thermal (DHN); DHN_SOLAR ;374.24;0.441419444;221.22;30;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Electrical heat pump (decentralised); DEC_HP_ELEC ;534.83;22.29942815;164.89;18;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Thermal heat pump gas (decentralised); DEC_THHP_GAS ;343.14;10.02879086;381.93;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Cogeneration gas (decentralised); DEC_COGEN_GAS ;1484.44;95.41808193;1024.32;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Cogeneration oil (decentralised); DEC_COGEN_OIL ;1376.41;84.44837929;1024.32;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised); DEC_ADVCOGEN_GAS ;8478.77;158.0127523;2193.45;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised); DEC_ADVCOGEN_H2 ;8478.77;158.0127523;2193.45;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Bioler gas (decentralised); DEC_BOILER_GAS ;174.39;5.232699691;21.09;17;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Boiler wood (decentralised); DEC_BOILER_WOOD ;508.68;17.79941942;21.09;17;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Boiler oil (decentralised); DEC_BOILER_OIL ;156.62;9.394138028;21.09;17;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Solar thermal (decentralised); DEC_SOLAR ;743.38;8.247963292;221.22;20;1;0;1;0;1.00E+15;
Heat;Heat low temperature decentralised;Direct electrical heaters (decentralised); DEC_DIRECT_ELEC ;42.16;0.184273541;1.47;15;1;0;1;0;1.00E+15;
Mobility;Passenger public;Tram or metro; TRAMWAY_TROLLEY ;625;12.5;0;30;0.342465753;0;0.3;0;1.00E+15;
Mobility;Passenger public;Bus diesel; BUS_COACH_DIESEL ;590.74;30.55555556;0;15;0.296803653;0;1;0;1.00E+15;
Mobility;Passenger public;Bus diesel hybrid; BUS_COACH_HYDIESEL ;823.29;33.33333333;0;15;0.296803653;0;1;0;1.00E+15;
Mobility;Passenger public;Bus gas; BUS_COACH_CNG_STOICH ;595.94;30.55555556;0;15;0.296803653;0;1;0;1.00E+15;
Mobility;Passenger public;Bus fuel cell (H2); BUS_COACH_FC_HYBRIDH2 ;1081.47;31.25;0;15;0.296803653;0;1;0;1.00E+15;
Mobility;Passenger public;Train (passenger); TRAIN_PUB ;1506.02;54.35274934;0;40;0.275072894;0;0.5;0;1.00E+15;
Mobility;Passenger private;Car gasoline; CAR_GASOLINE ;406.28;24;0;10;0.051369863;0;1;0;1.00E+15;
Mobility;Passenger private;Car diesel; CAR_DIESEL ;419.97;24;0;10;0.051369863;0;1;0;1.00E+15;
Mobility;Passenger private;Car gas; CAR_NG ;418.72;24;0;10;0.051369863;0;1;0;1.00E+15;
Mobility;Passenger private;Car methanol; CAR_METHANOL ;406.28;24;0;10;0.051369863;0;1;0;1.00E+15;
Mobility;Passenger private;Car hybrid (gasoline); CAR_HEV ;424.24;34;0;10;0.051369863;0;1;0;1.00E+15;
Mobility;Passenger private;Car plug-in hybrid; CAR_PHEV ;464.97;34;0;10;0.051369863;0;1;0;1.00E+15;
Mobility;Passenger private;Car electric; CAR_BEV ;529.56;10;0;10;0.051369863;0;1;0;1.00E+15;
Mobility;Passenger private;Car fuel cell (H2); CAR_FUEL_CELL ;900.62;10;0;10;0.051369863;0;1;0;1.00E+15;
Mobility;Freight;Train (freight); TRAIN_FREIGHT ;104.42;2.088311688;0;40;0.342465753;0;1;0;1.00E+15;
Mobility;Freight;Boat diesel; BOAT_FREIGHT_DIESEL ;73.84;3.819444444;0;40;0.114155251;0;1;0;1.00E+15;
Mobility;Freight;Boat gas; BOAT_FREIGHT_NG ;74.49;3.819444444;0;40;0.114155251;0;1;0;1.00E+15;
Mobility;Freight;Boat methanol; BOAT_FREIGHT_METHANOL ;73.84;3.819444444;0;40;0.114155251;0;1;0;1.00E+15;
Mobility;Freight;Trucks diesel; TRUCK_DIESEL ;358.74;18.55555556;0;15;0.092592593;0;1;0;1.00E+15;
Mobility;Freight;Truck methanol; TRUCK_METHANOL ;358.74;18.55555556;0;15;0.092592593;0;1;0;1.00E+15;
Mobility;Freight;Truck fuel cell (hydrogen); TRUCK_FUEL_CELL ;417.59;12.06666667;0;15;0.092592593;0;1;0;1.00E+15;
Mobility;Freight;Truck electric; TRUCK_ELEC ;835.89;23.13333333;0;15;0.092592593;0;1;0;1.00E+15;
Mobility;Freight;Truck gas; TRUCK_NG ;361.9;18.55555556;0;15;0.092592593;0;1;0;1.00E+15;
Infrastructure;Infrastructure;Efficiency mesures in energy system; EFFICIENCY ;5600;0;0;1;1;0;1;0;1.00E+15;
Infrastructure;Infrastructure;Distric heating network; DHN ;825.88;0;0;60;1;0;1;0;1.00E+15;
Infrastructure;Infrastructure;Electrical grid cost; GRID  ;74919.06;0;0;80;1;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Electrolysers; H2_ELECTROLYSIS ;1772.15;48.73417722;0;15;0.8973;0;1;0;1.00E+15;H2
Synthetic fuels;Synthetic fuels;Steam methane reforming; SMR ;736.79;67.9913424;0;25;0.85742;0;1;0;1.00E+15;H2
Synthetic fuels;Synthetic fuels;Biomass to hydrogen; H2_BIOMASS ;3788.08;266.8661519;0;25;0.85742;0;1;0;1.00E+15;H2
Synthetic fuels;Synthetic fuels;Wood gasification; GASIFICATION_SNG ;3286.51;231.6825397;0;25;0.84745;0;1;0;1.00E+15;SNG
Synthetic fuels;Synthetic fuels;Hydrogen methanation; SYN_METHANATION ;320.78;81.96184211;0;40;1;0;1;0;1.00E+15;SNG
Synthetic fuels;Synthetic fuels;Biomass methanation; BIOMETHANATION ;1066.44;14.77272727;0;20;0.84745;0;1;0;1.00E+15;SNG
Synthetic fuels;Synthetic fuels;Biomass hydrolysis; BIO_HYDROLYSIS ;1721.7;117.3865932;0;15;0.84745;0;1;0;1.00E+15;SNG
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline and diesel; PYROLYSIS_TO_LFO ;2016.33;91.6454554;0;25;0.84745;0;1;0;1.00E+15;OIL
Synthetic fuels;Synthetic fuels;Wood pyrolysis to LFO; PYROLYSIS_TO_FUELS ;2047.5;57;0;25;0.84745;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric; ATM_CCS ;5281.82;131.112;0;40;1;0;1;0;1.00E+15;CO2
Synthetic fuels;Synthetic fuels;Carbon capture from industry; INDUSTRY_CCS ;2640.91;65.556;0;40;1;0;1;0;1.00E+15;CO2
Synthetic fuels;Synthetic fuels;Hydrogen methanolation; SYN_METHANOLATION ;2284.2;64.82059801;0;20;0.94715;0;1;0;1.00E+15;METHANOL
Synthetic fuels;Synthetic fuels;Methane to methanol; METHANE_TO_METHANOL ;1303.6;57.00149236;0;25;0.84745;0;1;0;1.00E+15;METHANOL
Synthetic fuels;Synthetic fuels;Biomass methanolation; BIOMASS_TO_METHANOL ;3780;57.75;0;20;0.997;0;1;0;1.00E+15;METHANOL
Synthetic fuels;Synthetic fuels;Haber bosch (H2 to amonia); HABER_BOSCH ;916.06;17.91014975;0;20;0.997;0;1;0;1.00E+15;AMMONIA
Synthetic fuels;Synthetic fuels;Amonia to H2; AMMONIA_TO_H2 ;736.79;67.9913424;0;25;0.85742;0;1;0;1.00E+15;AMMONIA
Synthetic fuels;Synthetic fuels;Oil to HVC; OIL_TO_HVC ;427.2;2.271214642;0;15;0.997;0;1;0;1.00E+15;HVC
Synthetic fuels;Synthetic fuels;Gas to HVC; GAS_TO_HVC ;862.63;21.5657004;0;25;0.997;0;1;0;1.00E+15;HVC
Synthetic fuels;Synthetic fuels;Biomass to HVC; BIOMASS_TO_HVC ;2614.5;78;0;20;0.997;0;1;0;1.00E+15;HVC
Synthetic fuels;Synthetic fuels;Methanol to HVC; METHANOL_TO_HVC ;754.04;67.86389351;0;20;0.997;0;1;0;1.00E+15;HVC
Storage;Electricity storage;Batteries; BATT_LI ;425.88;0.658412583;61.3;15;1;0;1;0;1.00E+15;
Storage;Electricity storage;Batteries of electric cars; BEV_BATT ;0;0;0;1;1;0;1;0;1.00E+15;
