Name	HH_constr	HH_op
NUCLEAR	0.000000	0.000000
CCGT	213.954597	0.000000
CCGT_AMMONIA	0.000000	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	17484.403815	0.000000
WIND_ONSHORE	852.254083	0.000000
WIND_OFFSHORE	668.502000	0.000000
HYDRO_RIVER	27.243440	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	538.791479	0.000000
IND_COGEN_WOOD	0.000010	0.000000
IND_COGEN_WASTE	0.000019	0.000000
IND_BOILER_GAS	0.000028	0.000000
IND_BOILER_WOOD	0.000074	0.000000
IND_BOILER_OIL	0.000028	0.000000
IND_BOILER_COAL	0.000034	0.000000
IND_BOILER_WASTE	102.434259	0.000000
IND_DIRECT_ELEC	7.968842	0.000000
DHN_HP_ELEC	234.223037	0.000000
DHN_COGEN_GAS	0.000109	0.000000
DHN_COGEN_WOOD	0.000009	0.000000
DHN_COGEN_WASTE	0.000015	0.000000
DHN_COGEN_WET_BIOMASS	0.000019	0.000000
DHN_COGEN_BIO_HYDROLYSIS	199.446173	0.000000
DHN_BOILER_GAS	0.000008	0.000000
DHN_BOILER_WOOD	0.000035	0.000000
DHN_BOILER_OIL	0.000007	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000041	0.000000
DEC_HP_ELEC	942.265478	0.000000
DEC_THHP_GAS	0.000161	0.000000
DEC_COGEN_GAS	0.000029	0.000000
DEC_COGEN_OIL	0.000025	0.000000
DEC_ADVCOGEN_GAS	0.000010	0.000000
DEC_ADVCOGEN_H2	0.000007	0.000000
DEC_BOILER_GAS	0.000086	0.000000
DEC_BOILER_WOOD	0.000032	0.000000
DEC_BOILER_OIL	0.000077	0.000000
DEC_SOLAR	0.000614	0.000000
DEC_DIRECT_ELEC	0.000014	0.000000
TRAMWAY_TROLLEY	42.015710	0.000000
BUS_COACH_DIESEL	0.000003	0.000000
BUS_COACH_HYDIESEL	0.000030	0.000000
BUS_COACH_CNG_STOICH	192.162568	0.000000
BUS_COACH_FC_HYBRIDH2	0.000002	0.000000
TRAIN_PUB	238.571858	0.000000
CAR_GASOLINE	0.000014	0.000000
CAR_DIESEL	0.000007	0.000000
CAR_NG	0.000013	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000016	0.000000
CAR_PHEV	0.004120	0.000000
CAR_BEV	23361.177469	0.000000
CAR_FUEL_CELL	0.000041	0.000000
TRAIN_FREIGHT	51.740434	0.000000
BOAT_FREIGHT_DIESEL	0.000045	0.000000
BOAT_FREIGHT_NG	89.945356	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000016	0.000000
TRUCK_ELEC	3586.866057	0.000000
TRUCK_NG	0.001235	0.000000
HABER_BOSCH	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	2.013899	0.000000
BATT_LI	168.677210	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000154	0.000000
TS_DEC_HP_ELEC	114.832446	0.000000
TS_DEC_THHP_GAS	0.000153	0.000000
TS_DEC_COGEN_GAS	0.000153	0.000000
TS_DEC_COGEN_OIL	0.000153	0.000000
TS_DEC_ADVCOGEN_GAS	0.000153	0.000000
TS_DEC_ADVCOGEN_H2	0.000153	0.000000
TS_DEC_BOILER_GAS	0.000153	0.000000
TS_DEC_BOILER_WOOD	0.000153	0.000000
TS_DEC_BOILER_OIL	0.000153	0.000000
TS_DHN_DAILY	0.000617	0.000000
TS_DHN_SEASONAL	147.636234	0.000000
TS_HIGH_TEMP	890.984896	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
DHN	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
GRID	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000
