Name	Used	Potential
ELECTRICITY	27599.999515	27600.000000
GASOLINE	0.000148	1000000.000000
DIESEL	0.000332	1000000.000000
BIOETHANOL	0.000979	1000000.000000
BIODIESEL	0.002125	1000000.000000
LFO	0.000992	1000000.000000
GAS	0.000568	1000000.000000
GAS_RE	124291.256963	1000000.000000
WOOD	23400.000226	23400.000000
WET_BIOMASS	38900.000237	38900.000000
COAL	0.000252	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17800.000110	17800.000000
H2	0.000712	1000000.000000
H2_RE	0.000003	1000000.000000
AMMONIA	10195.198050	1000000.000000
METHANOL	16198.606578	1000000.000000
AMMONIA_RE	0.002287	1000000.000000
METHANOL_RE	22256.615931	1000000.000000
ELEC_EXPORT	156.084193	1000000.000000
CO2_EMISSIONS	47650.414379	1000000.000000
RES_WIND	42605.633475	1000000.000000
RES_SOLAR	61349.308043	1000000.000000
RES_HYDRO	479.383783	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.000095	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
