TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	5567.065034	141.339993	25.000000	0.000000	7.211224	Infinity	0.000000	0.122066	1.000000	0.229881	0.962000	0.048263	1132.162190
CCGT_AMMONIA	0.000305	0.000008	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000107	0.962000	0.048263	0.000062
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	51482.248081	588.199478	25.000000	0.000000	59.174998	59.200000	0.000000	0.515698	1.000000	0.118351	1.000000	0.048263	65684.247551
WIND_ONSHORE	10399.999999	121.000000	30.000000	0.000000	10.000000	10.000000	0.000000	0.178406	1.000000	0.242284	1.000000	0.041639	5569.999999
WIND_OFFSHORE	29820.000000	207.600000	30.000000	0.000000	6.000000	6.000000	0.000000	0.179799	1.000000	0.406962	1.000000	0.041639	4584.000000
HYDRO_RIVER	579.600000	5.796000	40.000000	0.000000	0.115000	0.115000	0.000000	0.004031	1.000000	0.476039	1.000000	0.033427	323.150000
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	10335.548043	663.380921	25.000000	0.000000	7.330176	Infinity	0.000000	0.638874	1.000000	0.637604	0.850000	0.048263	3775.040597
IND_COGEN_WOOD	0.000248	0.000009	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000177	0.850000	0.048263	0.000039
IND_COGEN_WASTE	0.000371	0.000014	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000435	0.850000	0.048263	0.000073
IND_BOILER_GAS	0.000198	0.000004	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000471	0.950000	0.067080	0.000043
IND_BOILER_WOOD	0.000143	0.000003	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000365	0.900000	0.067080	0.000098
IND_BOILER_OIL	0.000186	0.000004	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000156	0.950000	0.067080	0.000044
IND_BOILER_COAL	0.000164	0.000003	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000101	0.900000	0.067080	0.000060
IND_BOILER_WASTE	481.690314	9.633806	17.000000	0.000000	4.188611	Infinity	0.000000	0.225615	1.000000	0.394046	0.900000	0.067080	330.481442
IND_DIRECT_ELEC	5299.151036	24.101560	15.000000	0.000000	15.961298	Infinity	0.000000	0.135512	1.000000	0.062110	0.950000	0.074944	25.697690
DHN_HP_ELEC	2890.205121	98.015652	25.000000	0.000000	8.377406	Infinity	0.000000	0.752823	1.000000	0.539222	0.950000	0.048263	1214.723891
DHN_COGEN_GAS	0.002328	0.000068	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.005012	0.850000	0.048263	0.000292
DHN_COGEN_WOOD	0.000229	0.000008	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000109	0.850000	0.048263	0.000036
DHN_COGEN_WASTE	0.000286	0.000011	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000145	0.850000	0.048263	0.000056
DHN_COGEN_WET_BIOMASS	0.000167	0.000014	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000099	0.750000	0.048263	0.000070
DHN_COGEN_BIO_HYDROLYSIS	8040.338481	393.161926	15.000000	0.000000	1.771000	Infinity	0.000000	0.247177	1.000000	0.837480	0.850000	0.074944	1023.637807
DHN_BOILER_GAS	0.000054	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000177	0.950000	0.067080	0.000012
DHN_BOILER_WOOD	0.000075	0.000002	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000159	0.900000	0.067080	0.000052
DHN_BOILER_OIL	0.000047	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000106	0.950000	0.067080	0.000011
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000077	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000118	1.000000	0.041639	0.000045
DEC_HP_ELEC	11934.763030	497.281793	18.000000	0.000000	24.257648	Infinity	0.000000	1.000000	1.000000	0.444643	1.000000	0.063806	3517.359023
DEC_THHP_GAS	0.000251	0.000007	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000833	1.000000	0.058246	0.000284
DEC_COGEN_GAS	0.000361	0.000023	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000487	1.000000	0.058246	0.000088
DEC_COGEN_OIL	0.000281	0.000017	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000097	1.000000	0.058246	0.000074
DEC_ADVCOGEN_GAS	0.000833	0.000016	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000365	1.000000	0.058246	0.000024
DEC_ADVCOGEN_H2	0.000493	0.000009	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000068	1.000000	0.058246	0.000014
DEC_BOILER_GAS	0.000320	0.000010	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000205	1.000000	0.067080	0.000092
DEC_BOILER_WOOD	0.000353	0.000012	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000192	1.000000	0.067080	0.000052
DEC_BOILER_OIL	0.000256	0.000015	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000119	1.000000	0.067080	0.000082
DEC_SOLAR	0.000940	0.000010	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000747	1.000000	0.058246	0.000678
DEC_DIRECT_ELEC	0.000491	0.000002	15.000000	0.000000	0.000012	Infinity	0.000000	0.000000	1.000000	0.000133	1.000000	0.074944	0.000020
TRAMWAY_TROLLEY	6070.683042	121.413661	30.000000	0.000000	9.713093	Infinity	0.000000	0.300000	0.300000	0.342000	0.342000	0.041639	174.835672
BUS_COACH_DIESEL	0.000023	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000261	0.297000	0.074944	0.000004
BUS_COACH_HYDIESEL	0.000152	0.000006	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000752	0.297000	0.074944	0.000022
BUS_COACH_CNG_STOICH	4555.930881	228.169370	15.000000	0.000000	7.456515	Infinity	0.000000	0.200000	1.000000	0.297000	0.297000	0.074944	708.368959
BUS_COACH_FC_HYBRIDH2	0.000033	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000143	0.297000	0.074944	0.000004
TRAIN_PUB	30400.214648	1095.213031	40.000000	0.000000	20.132592	Infinity	0.000000	0.500000	0.500000	0.275000	0.275000	0.033427	1640.806287
CAR_GASOLINE	0.000055	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000108	0.051400	0.108434	0.000024
CAR_DIESEL	0.000089	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000086	0.051400	0.108434	0.000040
CAR_NG	0.000043	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000126	0.051400	0.108434	0.000018
CAR_METHANOL	0.000010	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000053	0.051400	0.108434	0.000004
CAR_HEV	0.000028	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000085	0.051400	0.108434	0.000015
CAR_PHEV	0.007408	0.000552	10.000000	0.000000	0.000016	Infinity	0.000000	0.000000	1.000000	0.004228	0.051400	0.108434	0.003720
CAR_BEV	96941.953562	2154.265635	10.000000	0.000000	215.426563	Infinity	0.000000	1.000000	1.000000	0.051400	0.051400	0.108434	43947.018948
CAR_FUEL_CELL	0.000133	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000241	0.051400	0.108434	0.000086
TRAIN_FREIGHT	850.488133	17.091540	40.000000	0.000000	8.177771	Infinity	0.000000	1.000000	1.000000	0.342000	0.342000	0.033427	397.439647
