Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	268.843275	141.422839	0.000000
CCGT_AMMONIA	0.001311	0.000690	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2484.706073	588.198286	0.000000
WIND_ONSHORE	433.047557	121.000000	0.000000
WIND_OFFSHORE	1241.680591	207.600000	0.000000
HYDRO_RIVER	19.374347	5.796000	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	498.800363	663.342509	0.000000
IND_COGEN_WOOD	0.001143	0.000868	0.000000
IND_COGEN_WASTE	0.001852	0.001415	0.000000
IND_BOILER_GAS	0.001337	0.000399	0.000000
IND_BOILER_WOOD	0.000824	0.000246	0.000000
IND_BOILER_OIL	0.001258	0.000403	0.000000
IND_BOILER_COAL	0.001012	0.000302	0.000000
IND_BOILER_WASTE	32.333196	9.640239	0.000000
IND_DIRECT_ELEC	397.100985	24.099104	0.000000
DHN_HP_ELEC	139.506621	98.026430	0.000000
DHN_COGEN_GAS	0.008329	0.005067	0.000000
DHN_COGEN_WOOD	0.001062	0.000807	0.000000
DHN_COGEN_WASTE	0.001457	0.001113	0.000000
DHN_COGEN_WET_BIOMASS	0.000809	0.001371	0.000000
DHN_COGEN_BIO_HYDROLYSIS	602.643538	393.204695	0.000000
DHN_BOILER_GAS	0.000356	0.000106	0.000000
DHN_BOILER_WOOD	0.000488	0.000146	0.000000
DHN_BOILER_OIL	0.000319	0.000102	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000146	0.000004	0.000000
DEC_HP_ELEC	761.506222	497.281360	0.000000
DEC_THHP_GAS	0.001470	0.000737	0.000000
DEC_COGEN_GAS	0.002010	0.002215	0.000000
DEC_COGEN_OIL	0.001591	0.001670	0.000000
DEC_ADVCOGEN_GAS	0.004963	0.001589	0.000000
DEC_ADVCOGEN_H2	0.002751	0.000881	0.000000
DEC_BOILER_GAS	0.002009	0.000897	0.000000
DEC_BOILER_WOOD	0.002338	0.001222	0.000000
DEC_BOILER_OIL	0.001624	0.001456	0.000000
DEC_SOLAR	0.005763	0.001098	0.000000
DEC_DIRECT_ELEC	0.003418	0.000200	0.000000
TRAMWAY_TROLLEY	252.778318	121.413663	0.000000
BUS_COACH_DIESEL	0.000269	0.000180	0.000000
BUS_COACH_HYDIESEL	0.004415	0.002355	0.000000
BUS_COACH_CNG_STOICH	341.437764	228.167004	0.000000
BUS_COACH_FC_HYBRIDH2	0.000168	0.000067	0.000000
TRAIN_PUB	1016.191054	1095.213018	0.000000
CAR_GASOLINE	0.000523	0.000275	0.000000
CAR_DIESEL	0.000246	0.000125	0.000000
CAR_NG	0.000485	0.000250	0.000000
CAR_METHANOL	0.000116	0.000061	0.000000
CAR_HEV	0.000694	0.000507	0.000000
CAR_PHEV	0.072958	0.050167	0.000000
CAR_BEV	10511.785291	2154.258309	0.000000
CAR_FUEL_CELL	0.000585	0.000124	0.000000
TRAIN_FREIGHT	28.429383	17.091558	0.000000
BOAT_FREIGHT_DIESEL	0.000405	0.000607	0.000000
BOAT_FREIGHT_NG	75.184321	112.460125	0.000000
BOAT_FREIGHT_METHANOL	0.000016	0.000025	0.000000
TRUCK_DIESEL	0.001674	0.001120	0.000000
TRUCK_METHANOL	0.000012	0.000008	0.000000
TRUCK_FUEL_CELL	0.000047	0.000019	0.000000
TRUCK_ELEC	3141.336240	1255.836485	0.000000
TRUCK_NG	0.003281	0.002195	0.000000
HABER_BOSCH	0.001215	0.000409	0.000000
SYN_METHANOLATION	0.001715	0.000836	0.000000
METHANE_TO_METHANOL	0.001913	0.001732	0.000000
BIOMASS_TO_METHANOL	242.967325	63.730001	0.000000
OIL_TO_HVC	0.001338	0.000095	0.000000
GAS_TO_HVC	0.001012	0.000523	0.000000
BIOMASS_TO_HVC	0.001811	0.000929	0.000000
METHANOL_TO_HVC	191.701431	296.071075	0.000000
PHS	10.916960	0.000000	0.000000
BATT_LI	99.695339	2.057055	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.005222	0.000628	0.000000
TS_DEC_HP_ELEC	85.882694	10.321423	0.000000
TS_DEC_THHP_GAS	0.005219	0.000627	0.000000
TS_DEC_COGEN_GAS	0.005213	0.000627	0.000000
TS_DEC_COGEN_OIL	0.005212	0.000626	0.000000
TS_DEC_ADVCOGEN_GAS	0.005211	0.000626	0.000000
TS_DEC_ADVCOGEN_H2	0.005212	0.000626	0.000000
TS_DEC_BOILER_GAS	0.005220	0.000627	0.000000
TS_DEC_BOILER_WOOD	0.005219	0.000627	0.000000
TS_DEC_BOILER_OIL	0.005218	0.000627	0.000000
TS_DHN_DAILY	0.003250	0.000279	0.000000
TS_DHN_SEASONAL	28.001478	3.180245	0.000000
TS_HIGH_TEMP	79.129942	17.566518	0.000000
GAS_STORAGE	415.057488	371.683911	0.000000
