Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	DHN	EFFICIENCY	GRID	AMMONIA_TO_H2	ATM_CCS	BIOMETHANATION	BIO_HYDROLYSIS	GASIFICATION_SNG	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																																																						0.170818	0.000000	0.000001	0.113877	0.000000	0.284696																																																																																											-0.569391	
 1 	 2																																																																						0.068385	0.000000	0.000000	0.045590	0.000000	0.113975																																																																																											-0.227950	
 1 	 3																																																																						0.034047	0.000000	0.000000	0.022698	0.000000	0.056745																																																																																											-0.113490	
 1 	 4																																																																						0.410312	0.000001	0.000001	0.273537	0.000000	0.683851																																																																																											-1.367702	
 1 	 5																																																																						1.094164	0.000003	0.000004	0.729433	0.000001	1.823603																																																																																											-3.647206	
 1 	 6																																																																						2.735411	0.000008	0.000009	1.823583	0.000002	4.559008																																																																																											-9.118014	
 1 	 7																																																																						5.299131	0.000015	0.000018	3.532706	0.000004	8.831866																																																																																											-17.663728	
 1 	 8																																																																						4.615365	0.000013	0.000015	3.076869	0.000003	7.692260																																																																																											-15.384515	
 1 	 9																																																																						4.273497	0.000012	0.000014	2.848960	0.000003	7.122481																																																																																											-14.244958	
 1 	 10																																																																						4.786328	0.000014	0.000016	3.190843	0.000003	7.977198																																																																																											-15.954391	
 1 	 11																																																																						5.470065	0.000016	0.000018	3.646661	0.000004	9.116756																																																																																											-18.233507	
 1 	 12																																																																						6.017089	0.000018	0.000020	4.011338	0.000004	10.028460																																																																																											-20.056916	
 1 	 13																																																																						5.470065	0.000016	0.000018	3.646661	0.000004	9.116756																																																																																											-18.233507	
 1 	 14																																																																						5.538450	0.000016	0.000019	3.692250	0.000004	9.230731																																																																																											-18.461457	
 1 	 15																																																																						6.222215	0.000018	0.000021	4.148088	0.000005	10.370337																																																																																											-20.740670	
 1 	 16																																																																						6.495727	0.000019	0.000022	4.330427	0.000005	10.826190																																																																																											-21.652374	
 1 	 17																																																																						6.495727	0.000019	0.000022	4.330427	0.000005	10.826190																																																																																											-21.652374	
 1 	 18																																																																						4.786328	0.000014	0.000016	3.190843	0.000003	7.977198																																																																																											-15.954391	
 1 	 19																																																																						3.418798	0.000010	0.000011	2.279168	0.000002	5.697984																																																																																											-11.395966	
 1 	 20																																																																						2.563720	0.000007	0.000009	1.709124	0.000002	4.272858																																																																																											-8.545714	
 1 	 21																																																																						1.708177	0.000005	0.000006	1.138769	0.000001	2.846955																																																																																											-5.693909	
 1 	 22																																																																						1.094164	0.000003	0.000004	0.729433	0.000001	1.823603																																																																																											-3.647206	
 1 	 23																																																																						0.683853	0.000002	0.000002	0.455896	0.000000	1.139752																																																																																											-2.279504	
 1 	 24																																																																						0.273541	0.000001	0.000001	0.182358	0.000000	0.455901																																																																																											-0.911801	
 2 	 1																																																																						0.170818	0.000000	0.000001	0.113877	0.000000	0.284696																																																																																											-0.569391	
 2 	 2																																																																						0.068385	0.000000	0.000000	0.045590	0.000000	0.113975																																																																																											-0.227950	
 2 	 3																																																																						0.034047	0.000000	0.000000	0.022698	0.000000	0.056745																																																																																											-0.113490	
 2 	 4																																																																						0.410312	0.000001	0.000001	0.273537	0.000000	0.683851																																																																																											-1.367702	
 2 	 5																																																																						1.094164	0.000003	0.000004	0.729433	0.000001	1.823603																																																																																											-3.647206	
 2 	 6																																																																						2.735411	0.000008	0.000009	1.823583	0.000002	4.559008																																																																																											-9.118014	
 2 	 7																																																																						5.299131	0.000015	0.000018	3.532706	0.000004	8.831866																																																																																											-17.663728	
 2 	 8																																																																						4.615365	0.000013	0.000015	3.076869	0.000003	7.692260																																																																																											-15.384515	
 2 	 9																																																																						4.273497	0.000012	0.000014	2.848960	0.000003	7.122481																																																																																											-14.244958	
 2 	 10																																																																						4.786328	0.000014	0.000016	3.190843	0.000003	7.977198																																																																																											-15.954391	
 2 	 11																																																																						5.470065	0.000016	0.000018	3.646661	0.000004	9.116756																																																																																											-18.233507	
 2 	 12																																																																						6.017089	0.000018	0.000020	4.011338	0.000004	10.028460																																																																																											-20.056916	
 2 	 13																																																																						5.470065	0.000016	0.000018	3.646661	0.000004	9.116756																																																																																											-18.233507	
 2 	 14																																																																						5.538450	0.000016	0.000019	3.692250	0.000004	9.230731																																																																																											-18.461457	
 2 	 15																																																																						6.222215	0.000018	0.000021	4.148088	0.000005	10.370337																																																																																											-20.740670	
 2 	 16																																																																						6.495727	0.000019	0.000022	4.330427	0.000005	10.826190																																																																																											-21.652374	
 2 	 17																																																																						6.495727	0.000019	0.000022	4.330427	0.000005	10.826190																																																																																											-21.652374	
 2 	 18																																																																						4.786328	0.000014	0.000016	3.190843	0.000003	7.977198																																																																																											-15.954391	
 2 	 19																																																																						3.418798	0.000010	0.000011	2.279168	0.000002	5.697984																																																																																											-11.395966	
 2 	 20																																																																						2.563720	0.000007	0.000009	1.709124	0.000002	4.272858																																																																																											-8.545714	
 2 	 21																																																																						1.708177	0.000005	0.000006	1.138769	0.000001	2.846955																																																																																											-5.693909	
 2 	 22																																																																						1.094164	0.000003	0.000004	0.729433	0.000001	1.823603																																																																																											-3.647206	
 2 	 23																																																																						0.683853	0.000002	0.000002	0.455896	0.000000	1.139752																																																																																											-2.279504	
 2 	 24																																																																						0.273541	0.000001	0.000001	0.182358	0.000000	0.455901																																																																																											-0.911801	
 3 	 1																																																																						0.170818	0.000000	0.000001	0.113877	0.000000	0.284696																																																																																											-0.569391	
 3 	 2																																																																						0.068385	0.000000	0.000000	0.045590	0.000000	0.113975																																																																																											-0.227950	
 3 	 3																																																																						0.034047	0.000000	0.000000	0.022698	0.000000	0.056745																																																																																											-0.113490	
 3 	 4																																																																						0.410312	0.000001	0.000001	0.273537	0.000000	0.683851																																																																																											-1.367702	
 3 	 5																																																																						1.094164	0.000003	0.000004	0.729433	0.000001	1.823603																																																																																											-3.647206	
 3 	 6																																																																						2.735411	0.000008	0.000009	1.823583	0.000002	4.559008																																																																																											-9.118014	
 3 	 7																																																																						5.299131	0.000015	0.000018	3.532706	0.000004	8.831866																																																																																											-17.663728	
 3 	 8																																																																						4.615365	0.000013	0.000015	3.076869	0.000003	7.692260																																																																																											-15.384515	
 3 	 9																																																																						4.273497	0.000012	0.000014	2.848960	0.000003	7.122481																																																																																											-14.244958	
 3 	 10																																																																						4.786328	0.000014	0.000016	3.190843	0.000003	7.977198																																																																																											-15.954391	
 3 	 11																																																																						5.470065	0.000016	0.000018	3.646661	0.000004	9.116756																																																																																											-18.233507	
 3 	 12																																																																						6.017089	0.000018	0.000020	4.011338	0.000004	10.028460																																																																																											-20.056916	
 3 	 13																																																																						5.470065	0.000016	0.000018	3.646661	0.000004	9.116756																																																																																											-18.233507	
 3 	 14																																																																						5.538450	0.000016	0.000019	3.692250	0.000004	9.230731																																																																																											-18.461457	
 3 	 15																																																																						6.222215	0.000018	0.000021	4.148088	0.000005	10.370337																																																																																											-20.740670	
 3 	 16																																																																						6.495727	0.000019	0.000022	4.330427	0.000005	10.826190																																																																																											-21.652374	
 3 	 17																																																																						6.495727	0.000019	0.000022	4.330427	0.000005	10.826190																																																																																											-21.652374	
 3 	 18																																																																						4.786328	0.000014	0.000016	3.190843	0.000003	7.977198																																																																																											-15.954391	
 3 	 19																																																																						3.418798	0.000010	0.000011	2.279168	0.000002	5.697984																																																																																											-11.395966	
 3 	 20																																																																						2.563720	0.000007	0.000009	1.709124	0.000002	4.272858																																																																																											-8.545714	
 3 	 21																																																																						1.708177	0.000005	0.000006	1.138769	0.000001	2.846955																																																																																											-5.693909	
 3 	 22																																																																						1.094164	0.000003	0.000004	0.729433	0.000001	1.823603																																																																																											-3.647206	
 3 	 23																																																																						0.683853	0.000002	0.000002	0.455896	0.000000	1.139752																																																																																											-2.279504	
 3 	 24																																																																						0.273541	0.000001	0.000001	0.182358	0.000000	0.455901																																																																																											-0.911801	
 4 	 1																																																																						0.170818	0.000000	0.000001	0.113877	0.000000	0.284696																																																																																											-0.569391	
 4 	 2																																																																						0.068385	0.000000	0.000000	0.045590	0.000000	0.113975																																																																																											-0.227950	
 4 	 3																																																																						0.034047	0.000000	0.000000	0.022698	0.000000	0.056745																																																																																											-0.113490	
 4 	 4																																																																						0.410312	0.000001	0.000001	0.273537	0.000000	0.683851																																																																																											-1.367702	
 4 	 5																																																																						1.094164	0.000003	0.000004	0.729433	0.000001	1.823603																																																																																											-3.647206	
 4 	 6																																																																						2.735411	0.000008	0.000009	1.823583	0.000002	4.559008																																																																																											-9.118014	
 4 	 7																																																																						5.299131	0.000015	0.000018	3.532706	0.000004	8.831866																																																																																											-17.663728	
 4 	 8																																																																						4.615365	0.000013	0.000015	3.076869	0.000003	7.692260																																																																																											-15.384515	
