Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	271.099775	142.609852	0.000000
CCGT_AMMONIA	0.000116	0.000061	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2484.710500	588.199334	0.000000
WIND_ONSHORE	433.047558	121.000000	0.000000
WIND_OFFSHORE	1241.680594	207.600000	0.000000
HYDRO_RIVER	19.374348	5.796000	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	498.251090	662.612044	0.000000
IND_COGEN_WOOD	0.000108	0.000082	0.000000
IND_COGEN_WASTE	0.000111	0.000085	0.000000
IND_BOILER_GAS	0.000092	0.000027	0.000000
IND_BOILER_WOOD	1.102040	0.328577	0.000000
IND_BOILER_OIL	0.000085	0.000027	0.000000
IND_BOILER_COAL	0.000082	0.000024	0.000000
IND_BOILER_WASTE	30.746972	9.167302	0.000000
IND_DIRECT_ELEC	308.215104	18.704834	0.000000
DHN_HP_ELEC	171.573390	120.558629	0.000000
DHN_COGEN_GAS	0.000434	0.000264	0.000000
DHN_COGEN_WOOD	0.000074	0.000056	0.000000
DHN_COGEN_WASTE	0.000088	0.000067	0.000000
DHN_COGEN_WET_BIOMASS	0.000054	0.000092	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000728	0.000475	0.000000
DHN_BOILER_GAS	0.000021	0.000006	0.000000
DHN_BOILER_WOOD	0.000033	0.000010	0.000000
DHN_BOILER_OIL	0.000019	0.000006	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000051	0.000001	0.000000
DEC_HP_ELEC	762.952937	498.226098	0.000000
DEC_THHP_GAS	0.000126	0.000063	0.000000
DEC_COGEN_GAS	0.000157	0.000173	0.000000
DEC_COGEN_OIL	0.000124	0.000130	0.000000
DEC_ADVCOGEN_GAS	0.000341	0.000109	0.000000
DEC_ADVCOGEN_H2	0.000218	0.000070	0.000000
DEC_BOILER_GAS	0.000151	0.000067	0.000000
DEC_BOILER_WOOD	0.000163	0.000085	0.000000
DEC_BOILER_OIL	0.000118	0.000106	0.000000
DEC_SOLAR	0.000698	0.000133	0.000000
DEC_DIRECT_ELEC	0.000218	0.000013	0.000000
TRAMWAY_TROLLEY	252.778314	121.413661	0.000000
BUS_COACH_DIESEL	0.000047	0.000031	0.000000
BUS_COACH_HYDIESEL	0.000090	0.000048	0.000000
BUS_COACH_CNG_STOICH	341.441181	228.169287	0.000000
BUS_COACH_FC_HYBRIDH2	0.000018	0.000007	0.000000
TRAIN_PUB	1016.191068	1095.213033	0.000000
CAR_GASOLINE	0.000060	0.000032	0.000000
CAR_DIESEL	0.000042	0.000021	0.000000
CAR_NG	0.000039	0.000020	0.000000
CAR_METHANOL	0.000016	0.000008	0.000000
CAR_HEV	0.000022	0.000016	0.000000
CAR_PHEV	0.005855	0.004026	0.000000
CAR_BEV	10511.818210	2154.265056	0.000000
CAR_FUEL_CELL	0.000119	0.000025	0.000000
TRAIN_FREIGHT	28.429355	17.091542	0.000000
