Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	DHN	EFFICIENCY	GRID	AMMONIA_TO_H2	ATM_CCS	BIOMETHANATION	BIO_HYDROLYSIS	GASIFICATION_SNG	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																1.141343		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.436767	1760.459259					-1.163836	
 1 	 2																1.166609		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.448370	1760.445596					-1.163836	
 1 	 3																1.171607		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1828.065791	1828.058020					-1.163836	
 1 	 4																1.167146		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.446937	1760.443627					-1.163836	
 1 	 5																1.164539		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.444459	1760.443755					-1.163836	
 1 	 6																1.163825		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.444545	1760.444555					-1.163836	
 1 	 7																1.163754		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.479213	1760.479294					-1.163836	
 1 	 8																1.163702		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.450635	1760.450769					-1.163836	
 1 	 9																1.163754		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.453596	1760.453678					-1.163836	
 1 	 10																1.163775		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.453404	1760.453465					-1.163836	
 1 	 11																1.163836		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.455053	1760.455053					-1.163836	
 1 	 12																1.163785		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.450120	1760.450170					-1.163836	
 1 	 13																1.163837		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.452085	1760.452083					-1.163836	
 1 	 14																1.163857		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.450330	1760.450308					-1.163836	
 1 	 15																1.163850		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.446309	1760.446294					-1.163836	
 1 	 16																1.163869		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.443231	1760.443198					-1.163836	
 1 	 17																1.163780		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.449259	1760.449315					-1.163836	
 1 	 18																1.163933		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.451282	1760.451184					-1.163836	
 1 	 19																1.163839		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.454931	1760.454927					-1.163836	
 1 	 20																1.162756		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.454653	1760.455733					-1.163836	
 1 	 21																1.158880		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.451644	1760.456600					-1.163836	
 1 	 22																1.151996		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.447028	1760.458867					-1.163836	
 1 	 23																1.158292		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.448758	1760.454302					-1.163836	
 1 	 24																1.194791		0.000000													-0.000000																																																														0.000000											-0.000000																																																								-1760.465043	1760.434087					-1.163836	
 2 	 1																0.560532		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1735.021195	1735.624497					-1.163836	
 2 	 2																0.712468		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1735.796371	1736.247738					-1.163836	
 2 	 3																0.834760		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1736.867682	1737.196757					-1.163836	
 2 	 4																0.932773		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1737.634363	1737.865424					-1.163836	
 2 	 5																1.008808		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1738.215901	1738.370928					-1.163836	
 2 	 6																1.065921		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1738.620769	1738.718682					-1.163836	
 2 	 7																1.107651		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1738.878392	1738.934576					-1.163836	
 2 	 8																1.139304		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1739.023316	1739.047847					-1.163836	
 2 	 9																1.162897		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1739.131651	1739.132588					-1.163836	
 2 	 10																1.177206		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1739.172518	1739.159146					-1.163836	
 2 	 11																1.184955		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1739.165956	1739.144835					-1.163836	
 2 	 12																1.187079		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1739.123723	1739.100479					-1.163836	
 2 	 13																1.185191		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1739.047867	1739.026510					-1.163836	
 2 	 14																1.181582		0.000002													-0.000000																																																														0.000000											-0.000000																																																								-1738.947848	1738.930100					-1.163836	
 2 	 15																1.179482		0.000002													-0.000000																																																														0.000000											-0.000000																																																								-1738.844152	1738.828505					-1.163836	
 2 	 16																1.178038		0.000002													-0.000001																																																														0.000000											-0.000000																																																								-1738.721036	1738.706833					-1.163836	
