Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	DHN	EFFICIENCY	GRID	AMMONIA_TO_H2	ATM_CCS	BIOMETHANATION	BIO_HYDROLYSIS	GASIFICATION_SNG	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																	2.517665		2.430133																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1756.436669	1755.869738			-0.175788	
 1 	 2																	1.941276		2.441172																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1853.229380	1853.227798			-0.175788	
 1 	 3																	1.892700		2.444255																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-2134.367006	2134.410918			-0.175788	
 1 	 4																	1.301479		2.730855																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1815.568211	1815.916743			-0.175788	
 1 	 5																	1.809969		2.632110																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1813.904333	1813.843121			-0.175788	
 1 	 6																	1.696013		2.529137																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1742.869572	1743.025289			-0.175788	
 1 	 7																	1.804893		2.487034																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1787.805018	1787.893957			-0.175788	
 1 	 8																	1.889836		2.469076																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1787.859547	1787.881502			-0.175788	
 1 	 9																	1.924134		2.460021																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1742.756238	1742.752949			-0.175788	
 1 	 10																	1.941000		2.446611																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1787.835795	1787.829050			-0.175788	
 1 	 11																	1.950470		2.432693																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1787.822376	1787.820080			-0.175788	
 1 	 12																	1.949742		2.418973																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1787.809920	1787.822072			-0.175788	
 1 	 13																	1.925563		2.416415																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1787.836768	1787.875657			-0.175788	
 1 	 14																	1.967695		2.422179																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1787.867452	1787.858445			-0.175788	
 1 	 15																	2.083200		2.448346																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1787.907029	1787.756349			-0.175788	
 1 	 16																	0.605111		2.145453																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1786.960511	1788.590814			-0.175788	
 1 	 17																	3.567657		2.320280																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1788.528644	1787.021574			-0.175788	
 1 	 18																	2.051760		2.325453																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1787.897953	1787.901607			-0.175788	
 1 	 19																	2.031885		2.366933																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1742.771866	1742.753914			-0.175788	
 1 	 20																	2.015681		2.373391																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1742.843284	1742.835078			-0.175788	
 1 	 21																	2.004359		2.377528																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1812.613142	1812.612121			-0.175788	
 1 	 22																	2.018490		2.369322																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1812.588761	1812.581816			-0.175788	
 1 	 23																	2.059332		2.339989																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1812.669221	1812.650767			-0.175788	
 1 	 24																	2.107021		2.255305																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655682				-5.860761																																																														-1812.764514	1812.783055			-0.175788	
 2 	 1																	0.342171		3.760538																																																												-0.000000								-0.000000		-0.000000					0.000000	0.000000	1.655681				-5.860761																																																														-1812.236471	1812.514628			-0.175788	
