Name	Einv_constr	Einv_op
NUCLEAR	0.000000	0.000000
CCGT	31.468654	0.000000
CCGT_AMMONIA	0.000015	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	3258.674579	0.000000
WIND_ONSHORE	956.666676	0.000000
WIND_OFFSHORE	547.999864	0.000000
HYDRO_RIVER	23.747509	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	131.638812	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	0.000002	0.000000
IND_BOILER_GAS	1.747711	0.000000
IND_BOILER_WOOD	0.000202	0.000000
IND_BOILER_OIL	0.000048	0.000000
IND_BOILER_COAL	30.160523	0.000000
IND_BOILER_WASTE	29.881754	0.000000
IND_DIRECT_ELEC	0.103881	0.000000
DHN_HP_ELEC	49.923462	0.000000
DHN_COGEN_GAS	85.374885	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000452	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000001	0.000000
DHN_BOILER_GAS	0.000005	0.000000
DHN_BOILER_WOOD	0.000029	0.000000
DHN_BOILER_OIL	0.000002	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000010	0.000000
DEC_HP_ELEC	0.000417	0.000000
DEC_THHP_GAS	1576.744201	0.000000
DEC_COGEN_GAS	0.000106	0.000000
DEC_COGEN_OIL	0.000017	0.000000
DEC_ADVCOGEN_GAS	0.000085	0.000000
DEC_ADVCOGEN_H2	0.000014	0.000000
DEC_BOILER_GAS	0.000111	0.000000
DEC_BOILER_WOOD	0.000017	0.000000
DEC_BOILER_OIL	0.000069	0.000000
DEC_SOLAR	0.000047	0.000000
DEC_DIRECT_ELEC	0.000022	0.000000
TRAMWAY_TROLLEY	23.699901	0.000000
BUS_COACH_DIESEL	0.000549	0.000000
BUS_COACH_HYDIESEL	0.000248	0.000000
BUS_COACH_CNG_STOICH	661.140112	0.000000
BUS_COACH_FC_HYBRIDH2	0.000016	0.000000
TRAIN_PUB	0.000005	0.000000
CAR_GASOLINE	0.000604	0.000000
CAR_DIESEL	0.000136	0.000000
CAR_NG	0.000393	0.000000
CAR_METHANOL	0.000127	0.000000
CAR_HEV	0.000284	0.000000
CAR_PHEV	0.015022	0.000000
CAR_BEV	6588.107417	0.000000
CAR_FUEL_CELL	13445.642701	0.000000
TRAIN_FREIGHT	38.844335	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000000
BOAT_FREIGHT_NG	80.223628	0.000000
BOAT_FREIGHT_METHANOL	0.000014	0.000000
TRUCK_DIESEL	0.000055	0.000000
TRUCK_METHANOL	0.000021	0.000000
TRUCK_FUEL_CELL	0.000046	0.000000
TRUCK_ELEC	0.000654	0.000000
TRUCK_NG	880.715744	0.000000
HABER_BOSCH	0.000036	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000045	0.000000
BIOMASS_TO_METHANOL	45.036106	0.000000
OIL_TO_HVC	231.551091	0.000000
GAS_TO_HVC	0.000046	0.000000
BIOMASS_TO_HVC	0.000329	0.000000
METHANOL_TO_HVC	58.187328	0.000000
PHS	2.080003	0.000000
BATT_LI	0.000406	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000343	0.000000
TS_DEC_HP_ELEC	0.000356	0.000000
TS_DEC_THHP_GAS	34.842442	0.000000
TS_DEC_COGEN_GAS	0.000344	0.000000
TS_DEC_COGEN_OIL	0.000343	0.000000
TS_DEC_ADVCOGEN_GAS	0.000343	0.000000
TS_DEC_ADVCOGEN_H2	0.000342	0.000000
TS_DEC_BOILER_GAS	0.000343	0.000000
TS_DEC_BOILER_WOOD	0.000343	0.000000
TS_DEC_BOILER_OIL	0.000343	0.000000
TS_DHN_DAILY	0.002275	0.000000
TS_DHN_SEASONAL	320.477093	0.000000
TS_HIGH_TEMP	0.011539	0.000000
GAS_STORAGE	28.213137	0.000000
H2_STORAGE	0.307934	0.000000
DIESEL_STORAGE	0.001888	0.000000
GASOLINE_STORAGE	0.001891	0.000000
LFO_STORAGE	0.001983	0.000000
AMMONIA_STORAGE	0.001921	0.000000
METHANOL_STORAGE	0.001900	0.000000
CO2_STORAGE	0.000005	0.000000
DHN	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
GRID	0.000000	0.000000
AMMONIA_TO_H2	0.000001	0.000000
ATM_CCS	0.000000	0.000000
BIOMETHANATION	437.926605	0.000000
BIO_HYDROLYSIS	0.006119	0.000000
GASIFICATION_SNG	0.000001	0.000000
H2_BIOMASS	0.000000	0.000000
H2_ELECTROLYSIS	0.000359	0.000000
INDUSTRY_CCS	0.000002	0.000000
PYROLYSIS_TO_FUELS	0.000213	0.000000
PYROLYSIS_TO_LFO	0.000001	0.000000
SMR	364.727497	0.000000
SYN_METHANATION	0.000004	0.000000
ELECTRICITY	0.000000	1207.523658
GASOLINE	0.000000	0.004602
DIESEL	0.000000	0.020717
BIOETHANOL	0.000000	0.001235
BIODIESEL	0.000000	0.001399
LFO	0.000000	11492.066424
GAS	0.000000	13821.701890
GAS_RE	0.000000	0.000002
WOOD	0.000000	1148.944234
WET_BIOMASS	0.000000	2174.517986
COAL	0.000000	4041.401321
URANIUM	0.000000	0.000000
WASTE	0.000000	1027.062726
H2	0.000000	0.000001
H2_RE	0.000000	0.000026
AMMONIA	0.000000	662.684944
METHANOL	0.000000	0.001111
AMMONIA_RE	0.000000	0.040661
METHANOL_RE	0.000000	0.002027
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
