Name	HH_constr	HH_op
NUCLEAR	0.000000	0.000000
CCGT	37.953961	0.000000
CCGT_AMMONIA	0.000000	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	5385.004442	0.000000
WIND_ONSHORE	852.254092	0.000000
WIND_OFFSHORE	668.501834	0.000000
HYDRO_RIVER	27.243450	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	120.346715	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	0.000002	0.000000
IND_BOILER_GAS	2.404309	0.000000
IND_BOILER_WOOD	0.000303	0.000000
IND_BOILER_OIL	0.000067	0.000000
IND_BOILER_COAL	33.559319	0.000000
IND_BOILER_WASTE	44.848759	0.000000
IND_DIRECT_ELEC	0.139169	0.000000
DHN_HP_ELEC	164.599876	0.000000
DHN_COGEN_GAS	102.969611	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000420	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000001	0.000000
DHN_BOILER_GAS	0.000007	0.000000
DHN_BOILER_WOOD	0.000044	0.000000
DHN_BOILER_OIL	0.000003	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000024	0.000000
DEC_HP_ELEC	0.001376	0.000000
DEC_THHP_GAS	2039.258612	0.000000
DEC_COGEN_GAS	0.000073	0.000000
DEC_COGEN_OIL	0.000012	0.000000
DEC_ADVCOGEN_GAS	0.000015	0.000000
DEC_ADVCOGEN_H2	0.000003	0.000000
DEC_BOILER_GAS	0.000210	0.000000
DEC_BOILER_WOOD	0.000022	0.000000
DEC_BOILER_OIL	0.000144	0.000000
DEC_SOLAR	0.000095	0.000000
DEC_DIRECT_ELEC	0.000029	0.000000
TRAMWAY_TROLLEY	42.015629	0.000000
BUS_COACH_DIESEL	0.000558	0.000000
BUS_COACH_HYDIESEL	0.000332	0.000000
BUS_COACH_CNG_STOICH	672.564739	0.000000
BUS_COACH_FC_HYBRIDH2	0.000017	0.000000
TRAIN_PUB	0.000009	0.000000
CAR_GASOLINE	0.000622	0.000000
CAR_DIESEL	0.000140	0.000000
CAR_NG	0.000404	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000390	0.000000
CAR_PHEV	0.018687	0.000000
CAR_BEV	9066.297235	0.000000
CAR_FUEL_CELL	14235.016782	0.000000
TRAIN_FREIGHT	51.740335	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000000
BOAT_FREIGHT_NG	89.945064	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000049	0.000000
TRUCK_ELEC	0.001136	0.000000
TRUCK_NG	907.365398	0.000000
HABER_BOSCH	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	2.013903	0.000000
BATT_LI	0.000852	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000439	0.000000
TS_DEC_HP_ELEC	0.000456	0.000000
TS_DEC_THHP_GAS	44.637962	0.000000
TS_DEC_COGEN_GAS	0.000440	0.000000
TS_DEC_COGEN_OIL	0.000439	0.000000
TS_DEC_ADVCOGEN_GAS	0.000440	0.000000
TS_DEC_ADVCOGEN_H2	0.000439	0.000000
TS_DEC_BOILER_GAS	0.000440	0.000000
TS_DEC_BOILER_WOOD	0.000440	0.000000
TS_DEC_BOILER_OIL	0.000440	0.000000
TS_DHN_DAILY	0.002915	0.000000
TS_DHN_SEASONAL	167.178574	0.000000
TS_HIGH_TEMP	0.012834	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
DHN	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
GRID	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000
ATM_CCS	0.000000	0.000000
BIOMETHANATION	179.920815	0.000000
BIO_HYDROLYSIS	0.002514	0.000000
GASIFICATION_SNG	0.000001	0.000000
H2_BIOMASS	0.000000	0.000000
H2_ELECTROLYSIS	0.000064	0.000000
INDUSTRY_CCS	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000315	0.000000
PYROLYSIS_TO_LFO	0.000001	0.000000
SMR	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000
ELECTRICITY	0.000000	1433.387056
GASOLINE	0.000000	0.007517
DIESEL	0.000000	0.045479
BIOETHANOL	0.000000	0.000723
BIODIESEL	0.000000	0.002066
LFO	0.000000	23547.469438
GAS	0.000000	64334.566363
GAS_RE	0.000000	0.000002
WOOD	0.000000	538.201983
WET_BIOMASS	0.000000	8169.029999
COAL	0.000000	50233.616423
URANIUM	0.000000	0.000000
WASTE	0.000000	8668.623008
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
