Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	DHN	EFFICIENCY	GRID	AMMONIA_TO_H2	ATM_CCS	BIOMETHANATION	BIO_HYDROLYSIS	GASIFICATION_SNG	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1											3.662239																																		-3.662239																																																																																																																									0.000000	
 1 	 2											3.660421																																		-3.660421																																																																																																																									0.000000	
 1 	 3											3.659581																																		-3.659581																																																																																																																									0.000000	
 1 	 4											3.660949																																		-3.660949																																																																																																																									0.000000	
 1 	 5											3.659568																																		-3.659568																																																																																																																									0.000000	
 1 	 6											3.658747																																		-3.658747																																																																																																																									0.000000	
 1 	 7											3.656819																																		-3.656819																																																																																																																									0.000000	
 1 	 8											3.665083																																		-3.665083																																																																																																																									0.000000	
 1 	 9											3.664990																																		-3.664990																																																																																																																									0.000000	
 1 	 10											3.665174																																		-3.665174																																																																																																																									0.000000	
 1 	 11											3.665953																																		-3.665953																																																																																																																									0.000000	
 1 	 12											3.665704																																		-3.665704																																																																																																																									0.000000	
 1 	 13											3.665303																																		-3.665303																																																																																																																									0.000000	
 1 	 14											3.666505																																		-3.666505																																																																																																																									0.000000	
 1 	 15											3.667547																																		-3.667547																																																																																																																									0.000000	
 1 	 16											3.667397																																		-3.667397																																																																																																																									0.000000	
 1 	 17											3.668025																																		-3.668025																																																																																																																									0.000000	
 1 	 18											3.669089																																		-3.669089																																																																																																																									0.000000	
 1 	 19											3.672949																																		-3.672949																																																																																																																									0.000000	
 1 	 20											4.236415																																		-4.236415																																																																																																																									0.000000	
 1 	 21											4.236413																																		-4.236413																																																																																																																									0.000000	
 1 	 22											4.236414																																		-4.236414																																																																																																																									0.000000	
 1 	 23											3.667486																																		-3.667486																																																																																																																									0.000000	
 1 	 24											3.664273																																		-3.664273																																																																																																																									0.000000	
 2 	 1											3.776836																																		-3.776836																																																																																																																									0.000000	
 2 	 2											3.777192																																		-3.777192																																																																																																																									0.000000	
 2 	 3											3.777637																																		-3.777637																																																																																																																									0.000000	
 2 	 4											3.777528																																		-3.777528																																																																																																																									0.000000	
 2 	 5											3.777630																																		-3.777630																																																																																																																									0.000000	
 2 	 6											3.777734																																		-3.777734																																																																																																																									0.000000	
 2 	 7											3.777464																																		-3.777464																																																																																																																									0.000000	
 2 	 8											3.777628																																		-3.777628																																																																																																																									0.000000	
 2 	 9											3.777562																																		-3.777562																																																																																																																									0.000000	
 2 	 10											3.777544																																		-3.777544																																																																																																																									0.000000	
 2 	 11											3.777521																																		-3.777521																																																																																																																									0.000000	
 2 	 12											3.777476																																		-3.777476																																																																																																																									0.000000	
 2 	 13											3.777372																																		-3.777372																																																																																																																									0.000000	
 2 	 14											3.777312																																		-3.777312																																																																																																																									0.000000	
 2 	 15											3.777292																																		-3.777292																																																																																																																									0.000000	
 2 	 16											3.777328																																		-3.777328																																																																																																																									0.000000	
 2 	 17											3.777536																																		-3.777536																																																																																																																									0.000000	
 2 	 18											3.777601																																		-3.777601																																																																																																																									0.000000	
 2 	 19											3.778126																																		-3.778126																																																																																																																									0.000000	
 2 	 20											3.778284																																		-3.778284																																																																																																																									0.000000	
 2 	 21											3.778503																																		-3.778503																																																																																																																									0.000000	
 2 	 22											3.778786																																		-3.778786																																																																																																																									0.000000	
 2 	 23											3.779287																																		-3.779287																																																																																																																									0.000000	
 2 	 24											3.780180																																		-3.780180																																																																																																																									0.000000	
 3 	 1											3.740168																																		-3.740168																																																																																																																									0.000000	
 3 	 2											3.717637																																		-3.717637																																																																																																																									0.000000	
 3 	 3											3.717611																																		-3.717611																																																																																																																									0.000000	
 3 	 4											3.739144																																		-3.739144																																																																																																																									0.000000	
 3 	 5											3.739011																																		-3.739011																																																																																																																									0.000000	
 3 	 6											3.739271																																		-3.739271																																																																																																																									0.000000	
 3 	 7											3.739183																																		-3.739183																																																																																																																									0.000000	
 3 	 8											3.738127																																		-3.738127																																																																																																																									0.000000	
 3 	 9											3.738157																																		-3.738157																																																																																																																									0.000000	
 3 	 10											3.738046																																		-3.738046																																																																																																																									0.000000	
 3 	 11											3.738221																																		-3.738221																																																																																																																									0.000000	
 3 	 12											3.738148																																		-3.738148																																																																																																																									0.000000	
 3 	 13											3.738475																																		-3.738475																																																																																																																									0.000000	
 3 	 14											3.738559																																		-3.738559																																																																																																																									0.000000	
 3 	 15											3.738235																																		-3.738235																																																																																																																									0.000000	
 3 	 16											3.738321																																		-3.738321																																																																																																																									0.000000	
