source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia,Ammonia,10.20,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
Wood,Gasifi. to Methanol,23.40,Wood,#CD853F,TWh
Gasifi. to Methanol,Elec,0.47,Electricity,#00BFFF,TWh
Gasifi. to Methanol,DHN,5.12,DHN,#FA8072,TWh
Gasifi. to Methanol,Methanol,14.42,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Oil,NSC,56.33,Naphtha,#8B008B,TWh
Elec,NSC,0.66,Electricity,#00BFFF,TWh
Heat HT,NSC,0.53,Heat HT,#DC143C,TWh
NSC,HVC,30.98,HVC,#00FFFF,TWh
Methanol,MTO,12.88,Methanol,#CC0066,TWh
Heat HT,MTO,3.43,Heat HT,#DC143C,TWh
MTO,HVC,10.38,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.36,HVC,#00FFFF,TWh
Imp. Gas,Gas,227.33,Gas,#FFD700,TWh
Gas Prod,Gas sto.,24.68,GAS,#FFD700,TWh
Gas sto.,Gas,24.18,GAS,#FFD700,TWh
Gas Prod,Gas,-13.05,GAS,#FFD700,TWh
Gas,Mob public,20.36,GAS,#FFD700,TWh
Gas,Freight,33.18,GAS,#FFD700,TWh
Gas,H2 prod,21.11,GAS,#FFD700,TWh
Gas,Elec,10.15,GAS,#FFD700,TWh
Gas,CHP,86.25,GAS,#FFD700,TWh
Gas,HPs,67.09,GAS,#FFD700,TWh
Gas,Boilers,0.46,GAS,#FFD700,TWh
Electricity,Elec,9.82,Electricity,#00BFFF,TWh
Wind,Elec,42.22,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Coal,Boilers,33.40,Coal,#A0522D,TWh
Solar,Elec,18.95,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Imp. Oil,Oil,56.33,Oil,#8B008B,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,11.63,GAS,#FFD700,TWh
Elec,Mob priv,7.34,Electricity,#00BFFF,TWh
Elec,Mob public,2.05,Electricity,#00BFFF,TWh
Elec,Freight,1.88,Electricity,#00BFFF,TWh
Elec,Exp & Loss,5.59,Electricity,#00BFFF,TWh
Elec,Curt.,0.31,Electricity,#00BFFF,TWh
Elec,Elec demand,91.45,Electricity,#00BFFF,TWh
Solar,Curt.,0.36,Solar,#FFFF00,TWh
Wind,Curt.,0.75,Wind,#27AE34,TWh
Elec,Storage,0.71,Electricity,#00BFFF,TWh
Storage,Elec demand,0.53,Electricity,#00BFFF,TWh
Elec,HPs,7.77,Electricity,#00BFFF,TWh
Elec,Heat HT,0.16,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,3.79,H2,#FF00FF,TWh
H2 sto.,H2,3.28,H2,#FF00FF,TWh
H2 prod,H2,11.68,H2,#FF00FF,TWh
H2,Mob priv,15.02,H2,#FF00FF,TWh
CHP,Elec,41.13,Electricity,#00BFFF,TWh
CHP,DHN,23.57,Heat LT,#FA8072,TWh
CHP,Heat HT,12.19,Heat HT,#DC143C,TWh
HPs,Dec. sto,11.44,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,82.04,Heat LT,#FA8072,TWh
HPs,DHN,28.88,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,10.76,Heat LT,#FA8072,TWh
Boilers,Heat HT,42.01,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,46.19,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.88,Heat LT,#FA8072,TWh
DHN,DHN Sto,8.50,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,8.31,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,50.40,Heat HT,#DC143C,TWh
