Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	DHN	EFFICIENCY	GRID	AMMONIA_TO_H2	ATM_CCS	BIOMETHANATION	BIO_HYDROLYSIS	GASIFICATION_SNG	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																						1.310990													-1.310990	-0.000000																																																																																																																																		0.000000	
 1 	 2																						1.576350													-1.576350	-0.000000																																																																																																																																		0.000000	
 1 	 3																						2.232562													-2.232562	-0.000000																																																																																																																																		0.000000	
 1 	 4																						2.820702													-2.820702	-0.000000																																																																																																																																		0.000000	
 1 	 5																						2.677559													-2.677559	-0.000000																																																																																																																																		0.000000	
 1 	 6																						2.583438													-2.583438	-0.000000																																																																																																																																		0.000000	
 1 	 7																						2.460778													-2.460778	-0.000000																																																																																																																																		0.000000	
 1 	 8																						3.135835													-3.135835	-0.000000																																																																																																																																		0.000000	
 1 	 9																						3.500947													-3.500947	-0.000000																																																																																																																																		0.000000	
 1 	 10																						4.282755													-4.282755	-0.000000																																																																																																																																		0.000000	
 1 	 11																						3.907777													-3.907777	-0.000000																																																																																																																																		0.000000	
 1 	 12																						3.654776													-3.654776	-0.000000																																																																																																																																		0.000000	
 1 	 13																						3.410207													-3.410207	-0.000000																																																																																																																																		0.000000	
 1 	 14																						2.444153													-2.444153	-0.000000																																																																																																																																		0.000000	
 1 	 15																						1.887865													-1.887864	-0.000000																																																																																																																																		0.000000	
 1 	 16																						2.092457													-2.092457	-0.000000																																																																																																																																		0.000000	
 1 	 17																						2.996413													-2.996413	-0.000000																																																																																																																																		0.000000	
 1 	 18																						4.091784													-4.091784	-0.000000																																																																																																																																		0.000000	
 1 	 19																						4.488680													-4.488679	-0.000000																																																																																																																																		0.000000	
 1 	 20																						5.527688													-5.527688	-0.000000																																																																																																																																		0.000000	
 1 	 21																						5.789599													-5.789599	-0.000000																																																																																																																																		0.000000	
 1 	 22																						5.068831													-5.068831	-0.000000																																																																																																																																		0.000000	
 1 	 23																						3.947344													-3.947344	-0.000000																																																																																																																																		0.000000	
 1 	 24																						2.976101													-2.976101	-0.000000																																																																																																																																		0.000000	
 2 	 1																						1.319013													-1.319013	-0.000000																																																																																																																																		0.000000	
 2 	 2																						0.800004													-0.800004	-0.000000																																																																																																																																		0.000000	
 2 	 3																						0.520955													-0.520955	-0.000000																																																																																																																																		0.000000	
 2 	 4																						0.420587													-0.420587	-0.000000																																																																																																																																		0.000000	
 2 	 5																						0.317284													-0.317284	-0.000000																																																																																																																																		0.000000	
 2 	 6																						0.263277													-0.263277	-0.000000																																																																																																																																		0.000000	
 2 	 7																						0.219955													-0.219955	-0.000000																																																																																																																																		0.000000	
 2 	 8																						0.213059													-0.213059	-0.000000																																																																																																																																		0.000000	
 2 	 9																						0.194146													-0.194146	-0.000000																																																																																																																																		0.000000	
 2 	 10																						0.233030													-0.233030	-0.000000																																																																																																																																		0.000000	
 2 	 11																						0.219067													-0.219067	-0.000000																																																																																																																																		0.000000	
 2 	 12																						0.145601													-0.145601	-0.000000																																																																																																																																		0.000000	
 2 	 13																						0.119178													-0.119178	-0.000000																																																																																																																																		0.000000	
 2 	 14																						0.082649													-0.082649	-0.000000																																																																																																																																		0.000000	
 2 	 15																						0.069369													-0.069369	-0.000000																																																																																																																																		0.000000	
 2 	 16																						0.095656													-0.095656	-0.000000																																																																																																																																		0.000000	
 2 	 17																						0.105556													-0.105556	-0.000000																																																																																																																																		0.000000	
 2 	 18																						0.138876													-0.138876	-0.000000																																																																																																																																		0.000000	
 2 	 19																						0.289632													-0.289632	-0.000000																																																																																																																																		0.000000	
 2 	 20																						0.660411													-0.660411	-0.000000																																																																																																																																		0.000000	
 2 	 21																						0.738008													-0.738008	-0.000000																																																																																																																																		0.000000	
 2 	 22																						0.766616													-0.766616	-0.000000																																																																																																																																		0.000000	
 2 	 23																						0.841824													-0.841824	-0.000000																																																																																																																																		0.000000	
 2 	 24																						0.702402													-0.702402	-0.000000																																																																																																																																		0.000000	
 3 	 1																						0.464695													-0.464695	-0.000000																																																																																																																																		0.000000	
 3 	 2																						0.374842													-0.374842	-0.000000																																																																																																																																		0.000000	
 3 	 3																						0.530480													-0.530480	-0.000000																																																																																																																																		0.000000	
 3 	 4																						0.663962													-0.663962	-0.000000																																																																																																																																		0.000000	
 3 	 5																						1.076561													-1.076561	-0.000000																																																																																																																																		0.000000	
 3 	 6																						1.160303													-1.160303	-0.000000																																																																																																																																		0.000000	
