Name	Used	Potential
ELECTRICITY	21857.296692	27600.000000
GASOLINE	0.000060	1000000.000000
DIESEL	0.000233	1000000.000000
BIOETHANOL	0.000084	1000000.000000
BIODIESEL	0.000555	1000000.000000
LFO	0.000593	1000000.000000
GAS	101469.125031	1000000.000000
GAS_RE	0.000102	1000000.000000
WOOD	23400.000014	23400.000000
WET_BIOMASS	38900.000022	38900.000000
COAL	0.000287	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17800.000005	17800.000000
H2	0.000001	1000000.000000
H2_RE	1111.150125	1000000.000000
AMMONIA	0.000130	1000000.000000
METHANOL	0.000208	1000000.000000
AMMONIA_RE	9809.970104	1000000.000000
METHANOL_RE	50882.061016	1000000.000000
ELEC_EXPORT	668.299144	1000000.000000
CO2_EMISSIONS	43316.921126	1000000.000000
RES_WIND	41468.022821	1000000.000000
RES_SOLAR	60837.921946	1000000.000000
RES_HYDRO	467.349049	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.000017	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
