Name	Used	Potential
ELECTRICITY	27600.000020	27600.000000
GASOLINE	0.000140	1000000.000000
DIESEL	0.000355	1000000.000000
BIOETHANOL	0.001057	1000000.000000
BIODIESEL	0.000481	1000000.000000
LFO	0.000356	1000000.000000
GAS	23816.393288	1000000.000000
GAS_RE	57475.343409	1000000.000000
WOOD	23400.000226	23400.000000
WET_BIOMASS	38899.999204	38900.000000
COAL	0.000173	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17800.000103	17800.000000
H2	0.000007	1000000.000000
H2_RE	0.000001	1000000.000000
AMMONIA	9809.969842	1000000.000000
METHANOL	47869.832366	1000000.000000
AMMONIA_RE	0.000134	1000000.000000
METHANOL_RE	0.000170	1000000.000000
ELEC_EXPORT	0.000145	1000000.000000
CO2_EMISSIONS	42595.595182	1000000.000000
RES_WIND	42965.113318	1000000.000000
RES_SOLAR	61534.848390	1000000.000000
RES_HYDRO	487.581504	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.000056	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
