Name	C_inv	C_maint	C_op
NUCLEAR	246.099386	205.861972	0.000000
CCGT	0.000088	0.000046	0.000000
CCGT_AMMONIA	325.871868	171.003658	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	3095.691821	732.504204	0.000000
WIND_ONSHORE	458.522413	128.075294	0.000000
WIND_OFFSHORE	1304.024452	217.889557	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	307.251182	409.207135	0.000000
IND_COGEN_WOOD	0.000055	0.000042	0.000000
IND_COGEN_WASTE	0.000058	0.000045	0.000000
IND_BOILER_GAS	0.000148	0.000044	0.000000
IND_BOILER_WOOD	24.811235	7.397384	0.000000
IND_BOILER_OIL	0.000047	0.000015	0.000000
IND_BOILER_COAL	0.000046	0.000014	0.000000
IND_BOILER_WASTE	17.984439	5.361998	0.000000
IND_DIRECT_ELEC	631.685214	38.235645	0.000000
DHN_HP_ELEC	157.621846	110.742547	0.000000
DHN_COGEN_GAS	0.000062	0.000037	0.000000
DHN_COGEN_WOOD	0.000037	0.000028	0.000000
DHN_COGEN_WASTE	0.000047	0.000036	0.000000
DHN_COGEN_WET_BIOMASS	0.000028	0.000047	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000131	0.000086	0.000000
DHN_BOILER_GAS	0.000011	0.000003	0.000000
DHN_BOILER_WOOD	0.000018	0.000005	0.000000
DHN_BOILER_OIL	0.000009	0.000003	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000045	0.000001	0.000000
DEC_HP_ELEC	737.338060	481.819735	0.000000
DEC_THHP_GAS	0.000080	0.000040	0.000000
DEC_COGEN_GAS	0.000077	0.000085	0.000000
DEC_COGEN_OIL	0.000061	0.000064	0.000000
DEC_ADVCOGEN_GAS	0.000145	0.000046	0.000000
DEC_ADVCOGEN_H2	0.000135	0.000043	0.000000
DEC_BOILER_GAS	0.000087	0.000039	0.000000
DEC_BOILER_WOOD	0.000092	0.000048	0.000000
DEC_BOILER_OIL	0.000068	0.000061	0.000000
DEC_SOLAR	0.000731	0.000139	0.000000
DEC_DIRECT_ELEC	0.000114	0.000007	0.000000
TRAMWAY_TROLLEY	184.822025	88.773116	0.000000
BUS_COACH_DIESEL	0.000121	0.000084	0.000000
BUS_COACH_HYDIESEL	337.069582	182.098571	0.000000
BUS_COACH_CNG_STOICH	0.000043	0.000030	0.000000
BUS_COACH_FC_HYBRIDH2	0.000012	0.000005	0.000000
TRAIN_PUB	741.854976	800.960445	0.000000
CAR_GASOLINE	0.000032	0.000018	0.000000
CAR_DIESEL	0.000017	0.000009	0.000000
CAR_NG	0.000024	0.000013	0.000000
CAR_METHANOL	0.000015	0.000008	0.000000
CAR_HEV	0.000021	0.000015	0.000000
CAR_PHEV	0.003641	0.002455	0.000000
CAR_BEV	9062.336932	1578.188376	0.000000
CAR_FUEL_CELL	0.000012	0.000001	0.000000
TRAIN_FREIGHT	22.994534	13.757437	0.000000
BOAT_FREIGHT_DIESEL	58.537625	90.582622	0.000000
BOAT_FREIGHT_NG	0.000001	0.000001	0.000000
BOAT_FREIGHT_METHANOL	0.000001	0.000001	0.000000
TRUCK_DIESEL	0.000015	0.000010	0.000000
TRUCK_METHANOL	0.000008	0.000005	0.000000
TRUCK_FUEL_CELL	1372.601956	529.228117	0.000000
TRUCK_ELEC	0.000005	0.000002	0.000000
TRUCK_NG	0.000001	0.000001	0.000000
HABER_BOSCH	0.000050	0.000017	0.000000
SYN_METHANOLATION	0.000061	0.000030	0.000000
METHANE_TO_METHANOL	0.000041	0.000037	0.000000
BIOMASS_TO_METHANOL	0.000077	0.000020	0.000000
OIL_TO_HVC	0.000061	0.000004	0.000000
GAS_TO_HVC	0.000041	0.000021	0.000000
BIOMASS_TO_HVC	0.000058	0.000030	0.000000
METHANOL_TO_HVC	203.839140	314.969013	0.000000
PHS	10.920013	0.000000	0.000000
BATT_LI	0.000439	0.000009	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000191	0.000023	0.000000
TS_DEC_HP_ELEC	72.607898	8.726886	0.000000
TS_DEC_THHP_GAS	0.000191	0.000023	0.000000
TS_DEC_COGEN_GAS	0.000191	0.000023	0.000000
TS_DEC_COGEN_OIL	0.000193	0.000023	0.000000
TS_DEC_ADVCOGEN_GAS	0.000192	0.000023	0.000000
TS_DEC_ADVCOGEN_H2	0.000192	0.000023	0.000000
TS_DEC_BOILER_GAS	0.000191	0.000023	0.000000
TS_DEC_BOILER_WOOD	0.000193	0.000023	0.000000
TS_DEC_BOILER_OIL	0.000193	0.000023	0.000000
TS_DHN_DAILY	0.000163	0.000014	0.000000
TS_DHN_SEASONAL	29.634199	3.351317	0.000000
TS_HIGH_TEMP	134.310227	29.784399	0.000000
GAS_STORAGE	17.843387	16.351798	0.000000
H2_STORAGE	0.001157	0.001252	0.000000
DIESEL_STORAGE	0.001530	0.001043	0.000000
GASOLINE_STORAGE	0.001542	0.001051	0.000000
LFO_STORAGE	0.001490	0.001016	0.000000
AMMONIA_STORAGE	0.001551	0.001057	0.000000
METHANOL_STORAGE	0.001515	0.001033	0.000000
CO2_STORAGE	0.002172	0.000522	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
DHN	182.770831	0.000000	0.000000
GRID	2210.177364	0.000000	0.000000
H2_ELECTROLYSIS	0.000069	0.000025	0.000000
SMR	0.000028	0.000054	0.000000
H2_BIOMASS	0.000037	0.000054	0.000000
GASIFICATION_SNG	0.000041	0.000060	0.000000
SYN_METHANATION	0.000010	0.000078	0.000000
BIOMETHANATION	0.000067	0.000016	0.000000
BIO_HYDROLYSIS	286.001314	260.189710	0.000000
PYROLYSIS_TO_LFO	0.000065	0.000061	0.000000
PYROLYSIS_TO_FUELS	0.000049	0.000028	0.000000
ATM_CCS	0.000044	0.000033	0.000000
INDUSTRY_CCS	0.000046	0.000034	0.000000
AMMONIA_TO_H2	0.000030	0.000058	0.000000
ELECTRICITY	0.000000	0.000000	129.921419
GASOLINE	0.000000	0.000000	0.000030
DIESEL	0.000000	0.000000	0.000047
