source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,63.48,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,9.99,Ammonia,#000ECD,TWh
Ammonia,Elec,53.48,Ammonia,#000ECD,TWh
Imp. Methanol RE,Methanol,51.82,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.51,Methanol,#CC0066,TWh
Methanol,MTO,50.31,Methanol,#CC0066,TWh
Heat HT,MTO,13.38,Heat HT,#DC143C,TWh
MTO,HVC,40.53,HVC,#00FFFF,TWh
HVC,Non-energy demand,40.53,HVC,#00FFFF,TWh
Imp. Bio-diesel,Diesel,5.77,Diesel,#D3D3D3,TWh
Diesel,Mob public,3.08,Diesel,#D3D3D3,TWh
Diesel,Freight,2.70,Diesel,#D3D3D3,TWh
Imp. Gas RE,Gas,42.64,Gas,#FFD700,TWh
Gas Prod,Gas sto.,12.17,GAS,#FFD700,TWh
Gas sto.,Gas,11.93,GAS,#FFD700,TWh
Gas Prod,Gas,4.28,GAS,#FFD700,TWh
Gas,CHP,58.91,GAS,#FFD700,TWh
Electricity,Elec,1.84,Electricity,#00BFFF,TWh
Uranium,Elec,42.37,Nuclear,#FFC0CB,TWh
Wind,Elec,42.65,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wood,Boilers,23.40,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,13.04,Electricity,#00BFFF,TWh
Elec,Mob public,3.93,Electricity,#00BFFF,TWh
Elec,Freight,1.46,Electricity,#00BFFF,TWh
Elec,Exp & Loss,8.20,Electricity,#00BFFF,TWh
Elec,Curt.,0.17,Electricity,#00BFFF,TWh
Elec,Elec demand,83.87,Electricity,#00BFFF,TWh
Solar,Curt.,0.22,Solar,#FFFF00,TWh
Wind,Curt.,0.31,Wind,#27AE34,TWh
Elec,Storage,1.10,Electricity,#00BFFF,TWh
Storage,Elec demand,0.83,Electricity,#00BFFF,TWh
Elec,HPs,42.78,Electricity,#00BFFF,TWh
Elec,HT sto,10.48,Electricity,#00BFFF,TWh
HT sto,Heat HT,10.35,Heat HT,#DC143C,TWh
Elec,Heat HT,7.85,Electricity,#00BFFF,TWh
Imp. H2 RE,H2,17.78,H2,#FF00FF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,-0.00,H2,#FF00FF,TWh
H2,Freight,17.78,H2,#FF00FF,TWh
CHP,Elec,25.80,Electricity,#00BFFF,TWh
CHP,Heat HT,26.97,Heat HT,#DC143C,TWh
HPs,Dec. sto,18.97,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,65.04,Heat LT,#FA8072,TWh
HPs,DHN,51.41,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,17.62,Heat LT,#FA8072,TWh
Boilers,Heat HT,34.66,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,33.34,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.57,Heat LT,#FA8072,TWh
DHN,DHN Sto,15.50,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,15.21,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,66.45,Heat HT,#DC143C,TWh
