,First-order Sobol indices,Total-order Sobol indices
einv_constr-CAR_BEV,0.2371235077383385,0.2371235077383385
f_max-NUCLEAR,0.1677220496020392,0.1677220496020392
einv_constr-PV,0.04877585051720033,0.04877585051720033
other-share_mobility_public_max,0.044292379131449955,0.044292379131449955
avail-WOOD,0.028477349147316013,0.028477349147316013
INDUSTRY-NON_ENERGY,0.024719179129466976,0.024719179129466976
einv_op-WET_BIOMASS,0.023014230401468883,0.023014230401468883
f_max-WIND_OFFSHORE,0.022959397612355485,0.022959397612355485
avail-WET_BIOMASS,0.022903454590982857,0.022903454590982857
einv_constr-IND_BOILER_OIL,0.022369025132667784,0.022369025132667784
einv_op-GAS,0.022078152936827022,0.022078152936827022
einv_op-GAS_RE,0.02165019980025683,0.02165019980025683
einv_constr-CAR_NG,0.021462581341369594,0.021462581341369594
f_max-WIND_ONSHORE,0.017000774273712403,0.017000774273712403
c_pt-Wind_offshore,0.016312271709360206,0.016312271709360206
f_max-DHN_DEEP_GEO,0.015214532619812733,0.015214532619812733
einv_op-H2,0.014475367881522868,0.014475367881522868
einv_constr-DHN_COGEN_WASTE,0.013936670788753783,0.013936670788753783
einv_op-URANIUM,0.013098965406502669,0.013098965406502669
einv_constr-CCGT_AMMONIA,0.011564062023725279,0.011564062023725279
einv_op-METHANOL,0.01105972995072007,0.01105972995072007
einv_op-ELECTRICITY,0.010600183911771902,0.010600183911771902
einv_constr-DEC_BOILER_WOOD,0.009591381471748556,0.009591381471748556
other-share_freight_boat_max,0.008355879573329297,0.008355879573329297
einv_constr-PYROLYSIS_TO_LFO,0.007411655522567958,0.007411655522567958
einv_constr-DEC_BOILER_GAS,0.0054764784598436665,0.0054764784598436665
einv_constr-TRUCK_METHANOL,0.005458603425093294,0.005458603425093294
einv_constr-BIOMASS_TO_METHANOL,0.004975739571923644,0.004975739571923644
einv_constr-H2_BIOMASS,0.004904287421436898,0.004904287421436898
einv_constr-TRAIN_FREIGHT,0.004361761800514051,0.004361761800514051
einv_constr-DEC_THHP_GAS,0.004279051384553234,0.004279051384553234
einv_constr-DHN_COGEN_BIO_HYDROLYSIS,0.004229594003279915,0.004229594003279915
einv_constr-METHANOL_TO_HVC,0.004139726057974932,0.004139726057974932
einv_constr-IND_BOILER_WASTE,0.0041147830337777275,0.0041147830337777275
einv_constr-CAR_PHEV,0.00394048805230011,0.00394048805230011
c_pt-PV,0.003495150678924704,0.003495150678924704
einv_constr-HYDRO_RIVER,0.0034711080270089702,0.0034711080270089702
einv_constr-H2_ELECTROLYSIS,0.003408446188038845,0.003408446188038845
SERVICES-LIGHTING,0.003338942088490125,0.003338942088490125
einv_constr-IND_COGEN_WASTE,0.0031245598496032426,0.0031245598496032426
einv_op-BIOETHANOL,0.0029929320111581805,0.0029929320111581805
einv_constr-CAR_HEV,0.00285749785452364,0.00285749785452364
einv_constr-BOAT_FREIGHT_METHANOL,0.0028410671075620123,0.0028410671075620123
einv_constr-TRAIN_PUB,0.0026812825233530095,0.0026812825233530095
einv_op-METHANOL_RE,0.002558303453803811,0.002558303453803811
einv_constr-DHN_BOILER_OIL,0.0025328896438314426,0.0025328896438314426
SERVICES-HEAT_LOW_T_SH,0.002475564422092636,0.002475564422092636
INDUSTRY-HEAT_LOW_T_SH,0.0024696318778614623,0.0024696318778614623
einv_constr-IND_DIRECT_ELEC,0.0023952077346506132,0.0023952077346506132
einv_op-BIODIESEL,0.0022905615090647626,0.0022905615090647626
HOUSEHOLDS-ELECTRICITY,0.0021996537458895075,0.0021996537458895075
einv_constr-IND_BOILER_COAL,0.0020899974809862583,0.0020899974809862583
einv_constr-SYN_METHANOLATION,0.0019859863165213308,0.0019859863165213308
einv_constr-AMMONIA_TO_H2,0.001953725181433859,0.001953725181433859
einv_constr-BIO_HYDROLYSIS,0.0019129779874514988,0.0019129779874514988
other-import_capacity,0.0019117091400321338,0.0019117091400321338
TRANSPORTATION-MOBILITY_FREIGHT,0.0018885741317858293,0.0018885741317858293
einv_constr-IND_BOILER_GAS,0.001811772789781528,0.001811772789781528
einv_constr-DHN_HP_ELEC,0.0017713821117940625,0.0017713821117940625
other-i_rate,0.0016336444631614637,0.0016336444631614637
einv_constr-TRUCK_NG,0.0016332842350830373,0.0016332842350830373
einv_op-H2_RE,0.001539022716127406,0.001539022716127406
einv_constr-DHN_DEEP_GEO,0.0014944079215638989,0.0014944079215638989
einv_constr-CAR_DIESEL,0.0014901053460513228,0.0014901053460513228
einv_constr-BUS_COACH_FC_HYBRIDH2,0.0013585310547649938,0.0013585310547649938
INDUSTRY-LIGHTING,0.0013388921973208063,0.0013388921973208063
einv_op-GASOLINE,0.0012853615708707624,0.0012853615708707624
einv_constr-DEC_DIRECT_ELEC,0.0012405871016797295,0.0012405871016797295
einv_constr-CCGT,0.0012068244895986078,0.0012068244895986078
einv_constr-DEC_COGEN_OIL,0.0011296118939547455,0.0011296118939547455
INDUSTRY-HEAT_HIGH_T,0.0010162863971902767,0.0010162863971902767
einv_op-AMMONIA_RE,0.0009974715206377276,0.0009974715206377276
einv_constr-DEC_ADVCOGEN_GAS,0.0009370303305573314,0.0009370303305573314
einv_constr-WIND_ONSHORE,0.0008325021828478299,0.0008325021828478299
einv_constr-TRUCK_ELEC,0.0008033766374384006,0.0008033766374384006
einv_op-DIESEL,0.0007262515428890105,0.0007262515428890105
einv_constr-GAS_TO_HVC,0.0007259237915056493,0.0007259237915056493
einv_constr-DEC_ADVCOGEN_H2,0.0007201230902940828,0.0007201230902940828
HOUSEHOLDS-HEAT_LOW_T_SH,0.0006948130212027947,0.0006948130212027947
c_pt-Hydro_river,0.0006737652071483881,0.0006737652071483881
INDUSTRY-ELECTRICITY,0.0006736742880009413,0.0006736742880009413
other-ELECTRICITY,0.0006720664190374293,0.0006720664190374293
avail-WASTE,0.000669312099269878,0.000669312099269878
einv_constr-BUS_COACH_DIESEL,0.0006651674507209429,0.0006651674507209429
TRANSPORTATION-MOBILITY_PASSENGER,0.0006502944887427446,0.0006502944887427446
einv_constr-IND_COGEN_GAS,0.0006488368130677547,0.0006488368130677547
einv_constr-DHN_BOILER_WOOD,0.0006457545621479124,0.0006457545621479124
einv_constr-BUS_COACH_CNG_STOICH,0.0006266407403339378,0.0006266407403339378
einv_constr-HABER_BOSCH,0.0006209679937748866,0.0006209679937748866
einv_constr-IND_BOILER_WOOD,0.0005083476523532245,0.0005083476523532245
einv_constr-DHN_COGEN_WOOD,0.00046814053481603404,0.00046814053481603404
einv_constr-BOAT_FREIGHT_NG,0.00044845719705978546,0.00044845719705978546
other-share_heat_dhn_max,0.0004259944863253759,0.0004259944863253759
SERVICES-HEAT_LOW_T_HW,0.00042069546532412484,0.00042069546532412484
einv_constr-DEC_BOILER_OIL,0.0004191096966239838,0.0004191096966239838
einv_constr-PYROLYSIS_TO_FUELS,0.0004026003724555022,0.0004026003724555022
einv_constr-METHANE_TO_METHANOL,0.00037486557579655854,0.00037486557579655854
einv_op-LFO,0.00034967403839088066,0.00034967403839088066
HOUSEHOLDS-HEAT_LOW_T_HW,0.0003455986449577307,0.0003455986449577307
f_max-GEOTHERMAL,0.0003185690103586947,0.0003185690103586947
einv_constr-CAR_FUEL_CELL,0.0003105926891371779,0.0003105926891371779
einv_constr-CAR_GASOLINE,0.0002825063400863944,0.0002825063400863944
einv_constr-BUS_COACH_HYDIESEL,0.00027078021519585233,0.00027078021519585233
einv_constr-GEOTHERMAL,0.00026790081285390924,0.00026790081285390924
einv_constr-CAR_METHANOL,0.000252155495227234,0.000252155495227234
other-share_freight_train_max,0.00024089930719670735,0.00024089930719670735
einv_constr-TRUCK_FUEL_CELL,0.00021223065553417218,0.00021223065553417218
einv_op-WOOD,0.00019019493632270698,0.00019019493632270698
einv_constr-TRUCK_DIESEL,0.00016798806661765564,0.00016798806661765564
einv_constr-BOAT_FREIGHT_DIESEL,0.0001239838318820843,0.0001239838318820843
INDUSTRY-HEAT_LOW_T_HW,0.00011737166483420074,0.00011737166483420074
einv_constr-PHS,0.00010934517399560864,0.00010934517399560864
einv_constr-SMR,0.00010446500845888581,0.00010446500845888581
einv_constr-BATT_LI,9.722472034955746e-05,9.722472034955746e-05
einv_constr-BIOMASS_TO_HVC,9.264271060032583e-05,9.264271060032583e-05
f_max-PV,9.242068288919136e-05,9.242068288919136e-05
einv_constr-DHN_COGEN_WET_BIOMASS,9.20344468003714e-05,9.20344468003714e-05
einv_constr-IND_COGEN_WOOD,8.088753499900549e-05,8.088753499900549e-05
einv_constr-SYN_METHANATION,7.402509539627825e-05,7.402509539627825e-05
einv_constr-OIL_TO_HVC,6.011363007103532e-05,6.011363007103532e-05
HOUSEHOLDS-LIGHTING,5.814103513908777e-05,5.814103513908777e-05
einv_constr-DEC_HP_ELEC,4.8862326090308944e-05,4.8862326090308944e-05
einv_op-WASTE,4.599962783185901e-05,4.599962783185901e-05
einv_op-AMMONIA,3.9939617319208635e-05,3.9939617319208635e-05
einv_constr-DHN_COGEN_GAS,3.4037947121761986e-05,3.4037947121761986e-05
einv_constr-WIND_OFFSHORE,2.8679400820615567e-05,2.8679400820615567e-05
einv_constr-DEC_COGEN_GAS,2.556517924740244e-05,2.556517924740244e-05
other-HEAT_LOW_T_DHN,2.2480128220731726e-05,2.2480128220731726e-05
c_pt-Wind_onshore,2.0170844018443713e-05,2.0170844018443713e-05
