,First-order Sobol indices,Total-order Sobol indices
einv_op-GAS,0.42886209794864427,0.42886209794864427
einv_constr-CAR_NG,0.3453589265955507,0.3453589265955507
einv_constr-METHANOL_TO_HVC,0.012042183018077149,0.012042183018077149
einv_constr-DEC_COGEN_OIL,0.012033572510878134,0.012033572510878134
other-share_mobility_public_max,0.010518795689958078,0.010518795689958078
einv_constr-AMMONIA_TO_H2,0.010051956088424092,0.010051956088424092
einv_constr-DEC_ADVCOGEN_GAS,0.009853386570154273,0.009853386570154273
other-ELECTRICITY,0.00979449744529737,0.00979449744529737
other-share_freight_boat_max,0.009642744482123676,0.009642744482123676
HOUSEHOLDS-LIGHTING,0.008786048172649727,0.008786048172649727
avail-WASTE,0.00860356525358826,0.00860356525358826
einv_op-METHANOL,0.00664906475803204,0.00664906475803204
f_max-DHN_DEEP_GEO,0.0063706051289314685,0.0063706051289314685
einv_constr-DHN_DEEP_GEO,0.005662639770689913,0.005662639770689913
einv_constr-TRAMWAY_TROLLEY,0.005657461605271336,0.005657461605271336
einv_constr-PYROLYSIS_TO_FUELS,0.004820126349790606,0.004820126349790606
TRANSPORTATION-MOBILITY_PASSENGER,0.004815332586533124,0.004815332586533124
einv_constr-TRUCK_FUEL_CELL,0.004620361372119686,0.004620361372119686
einv_constr-CAR_BEV,0.00398612992609859,0.00398612992609859
INDUSTRY-HEAT_LOW_T_HW,0.0033042149398801925,0.0033042149398801925
einv_constr-BUS_COACH_DIESEL,0.003090015578430327,0.003090015578430327
c_pt-Wind_offshore,0.003002246560005957,0.003002246560005957
einv_constr-DHN_BOILER_OIL,0.002903913254626448,0.002903913254626448
einv_constr-DHN_HP_ELEC,0.002894918787731009,0.002894918787731009
einv_constr-DEC_HP_ELEC,0.002840149911356153,0.002840149911356153
INDUSTRY-ELECTRICITY,0.002591774293622876,0.002591774293622876
einv_constr-DHN_COGEN_GAS,0.0023537247962922827,0.0023537247962922827
einv_constr-PYROLYSIS_TO_LFO,0.002341024614270306,0.002341024614270306
einv_constr-SYN_METHANATION,0.002275901890940676,0.002275901890940676
einv_constr-DEC_BOILER_WOOD,0.0021918637734003425,0.0021918637734003425
avail-WET_BIOMASS,0.0020954178568655933,0.0020954178568655933
INDUSTRY-HEAT_HIGH_T,0.00208767838990934,0.00208767838990934
einv_constr-PV,0.0020428379271600467,0.0020428379271600467
c_pt-PV,0.0019968817303576123,0.0019968817303576123
c_pt-Wind_onshore,0.0019383072450023207,0.0019383072450023207
einv_constr-BOAT_FREIGHT_DIESEL,0.0018395826239467072,0.0018395826239467072
einv_constr-TRUCK_NG,0.001695964286975365,0.001695964286975365
HOUSEHOLDS-HEAT_LOW_T_SH,0.0016956136297534923,0.0016956136297534923
f_max-WIND_ONSHORE,0.0016874806588553998,0.0016874806588553998
einv_constr-BOAT_FREIGHT_NG,0.0016183743681580161,0.0016183743681580161
einv_constr-SYN_METHANOLATION,0.0016173336407158917,0.0016173336407158917
SERVICES-HEAT_LOW_T_SH,0.0016046751692867858,0.0016046751692867858
other-import_capacity,0.0015711284312502076,0.0015711284312502076
einv_constr-CCGT,0.001520817841638272,0.001520817841638272
einv_constr-IND_BOILER_OIL,0.001517107139805882,0.001517107139805882
einv_constr-TRUCK_METHANOL,0.0014969592100338698,0.0014969592100338698
einv_op-H2,0.0014598932611903051,0.0014598932611903051
einv_constr-DEC_ADVCOGEN_H2,0.0014529507319228354,0.0014529507319228354
einv_constr-BIO_HYDROLYSIS,0.0013982522980644134,0.0013982522980644134
einv_constr-DEC_DIRECT_ELEC,0.001371408443748756,0.001371408443748756
f_max-NUCLEAR,0.001145278738781395,0.001145278738781395
einv_constr-BUS_COACH_FC_HYBRIDH2,0.001143457319764358,0.001143457319764358
einv_constr-DHN_COGEN_WOOD,0.0011320914650256111,0.0011320914650256111
einv_op-GASOLINE,0.0010912635862153205,0.0010912635862153205
TRANSPORTATION-MOBILITY_FREIGHT,0.0010727255793204823,0.0010727255793204823
einv_constr-IND_BOILER_GAS,0.0010475176607926714,0.0010475176607926714
einv_constr-CAR_HEV,0.0008764854012507388,0.0008764854012507388
einv_op-BIODIESEL,0.0008613549754736918,0.0008613549754736918
INDUSTRY-NON_ENERGY,0.0008255130649318422,0.0008255130649318422
einv_constr-DHN_COGEN_WASTE,0.0008060735343570632,0.0008060735343570632
einv_constr-BIOMASS_TO_METHANOL,0.0008005590335904255,0.0008005590335904255
einv_op-BIOETHANOL,0.0007917352744641417,0.0007917352744641417
einv_constr-BUS_COACH_HYDIESEL,0.0007761721341940574,0.0007761721341940574
einv_constr-IND_COGEN_WOOD,0.0007605836222643225,0.0007605836222643225
einv_constr-SMR,0.0007205511719671988,0.0007205511719671988
einv_constr-DEC_COGEN_GAS,0.0006703190329707833,0.0006703190329707833
einv_op-LFO,0.000665449643764012,0.000665449643764012
other-share_heat_dhn_max,0.0006106674798287086,0.0006106674798287086
einv_constr-DHN_COGEN_WET_BIOMASS,0.0005860127860364705,0.0005860127860364705
einv_op-AMMONIA,0.000575672091830882,0.000575672091830882
einv_constr-METHANE_TO_METHANOL,0.0005740149343496777,0.0005740149343496777
einv_op-WOOD,0.0005705755733545607,0.0005705755733545607
INDUSTRY-HEAT_LOW_T_SH,0.000520704499283838,0.000520704499283838
einv_constr-BATT_LI,0.0005139562821562431,0.0005139562821562431
einv_constr-TRAIN_FREIGHT,0.0005003308444663388,0.0005003308444663388
other-i_rate,0.0004922461578328641,0.0004922461578328641
einv_op-URANIUM,0.000491753627283876,0.000491753627283876
einv_op-METHANOL_RE,0.0004602377083042761,0.0004602377083042761
einv_constr-HABER_BOSCH,0.0004498753131968455,0.0004498753131968455
einv_constr-IND_COGEN_WASTE,0.0004358917190750743,0.0004358917190750743
c_pt-Hydro_river,0.0004240567781605587,0.0004240567781605587
HOUSEHOLDS-HEAT_LOW_T_HW,0.0004221292934873686,0.0004221292934873686
einv_constr-GAS_TO_HVC,0.00042136166026016694,0.00042136166026016694
einv_constr-DHN_SOLAR,0.0004201403132035583,0.0004201403132035583
einv_constr-BIOMASS_TO_HVC,0.0003659397977014434,0.0003659397977014434
einv_constr-BIOMETHANATION,0.0002932351333881977,0.0002932351333881977
einv_constr-CAR_FUEL_CELL,0.00026752165089584726,0.00026752165089584726
einv_constr-DEC_BOILER_OIL,0.0002539827432725907,0.0002539827432725907
einv_constr-IND_BOILER_WOOD,0.00024760253060604324,0.00024760253060604324
einv_op-GAS_RE,0.00023097415379983263,0.00023097415379983263
einv_constr-H2_ELECTROLYSIS,0.0002210103516049755,0.0002210103516049755
einv_constr-WIND_ONSHORE,0.00018490215527517875,0.00018490215527517875
SERVICES-HEAT_LOW_T_HW,0.0001734775464550994,0.0001734775464550994
einv_constr-BOAT_FREIGHT_METHANOL,0.0001715869844012001,0.0001715869844012001
einv_constr-TRUCK_ELEC,0.00016953652113906725,0.00016953652113906725
einv_op-WET_BIOMASS,0.00016591432938684503,0.00016591432938684503
einv_constr-DEC_THHP_GAS,0.00015538489661658632,0.00015538489661658632
einv_constr-DHN_BOILER_GAS,0.00014714204786319752,0.00014714204786319752
einv_constr-BUS_COACH_CNG_STOICH,0.00012711776143890032,0.00012711776143890032
einv_constr-GEOTHERMAL,0.00012672520523251358,0.00012672520523251358
einv_constr-WIND_OFFSHORE,0.00012146702906205533,0.00012146702906205533
einv_constr-H2_BIOMASS,0.00011169118790364021,0.00011169118790364021
SERVICES-LIGHTING,9.178816661009838e-05,9.178816661009838e-05
einv_constr-GASIFICATION_SNG,8.841089298683005e-05,8.841089298683005e-05
einv_op-ELECTRICITY,8.709676277278964e-05,8.709676277278964e-05
HOUSEHOLDS-ELECTRICITY,8.554986112362736e-05,8.554986112362736e-05
f_max-GEOTHERMAL,8.146816167461362e-05,8.146816167461362e-05
SERVICES-ELECTRICITY,7.43036860694782e-05,7.43036860694782e-05
einv_constr-IND_COGEN_GAS,7.097660412514817e-05,7.097660412514817e-05
einv_constr-PHS,6.334533564578501e-05,6.334533564578501e-05
einv_constr-CAR_GASOLINE,6.020500955583247e-05,6.020500955583247e-05
f_max-WIND_OFFSHORE,5.839650271453982e-05,5.839650271453982e-05
einv_constr-CAR_METHANOL,4.549025093587916e-05,4.549025093587916e-05
einv_op-AMMONIA_RE,4.548161848176734e-05,4.548161848176734e-05
f_max-PV,4.2071704053853254e-05,4.2071704053853254e-05
einv_op-H2_RE,3.754379094704623e-05,3.754379094704623e-05
einv_constr-CCGT_AMMONIA,3.2608437795801385e-05,3.2608437795801385e-05
einv_constr-IND_BOILER_WASTE,2.9732011074232198e-05,2.9732011074232198e-05
einv_constr-DEC_SOLAR,2.8676174207189975e-05,2.8676174207189975e-05
einv_constr-DEC_BOILER_GAS,2.3263887537640916e-05,2.3263887537640916e-05
einv_constr-IND_BOILER_COAL,2.0307278528708873e-05,2.0307278528708873e-05
einv_constr-NUCLEAR,1.712559479925907e-05,1.712559479925907e-05
c_pt-Solar,1.6207668440314255e-05,1.6207668440314255e-05
einv_constr-HYDRO_RIVER,1.544675430167628e-05,1.544675430167628e-05
einv_op-WASTE,1.5115702338962813e-05,1.5115702338962813e-05
einv_constr-TRAIN_PUB,8.835140402285219e-06,8.835140402285219e-06
avail-WOOD,8.398442379521205e-06,8.398442379521205e-06
einv_constr-DHN_COGEN_BIO_HYDROLYSIS,7.785590759519675e-06,7.785590759519675e-06
other-HEAT_LOW_T_DHN,7.111867873392518e-06,7.111867873392518e-06
einv_op-DIESEL,5.783249295931238e-06,5.783249295931238e-06
einv_constr-CAR_DIESEL,3.971745441434158e-06,3.971745441434158e-06
einv_constr-CAR_PHEV,2.7122631193208883e-06,2.7122631193208883e-06
INDUSTRY-LIGHTING,1.6116204923042904e-06,1.6116204923042904e-06
other-share_freight_train_max,1.4739341749678458e-06,1.4739341749678458e-06
einv_constr-OIL_TO_HVC,8.721403341555602e-07,8.721403341555602e-07
