,First-order Sobol indices,Total-order Sobol indices
einv_op-GAS_RE,0.6588218246003014,0.6705517369041709
einv_constr-CAR_BEV,0.05042668619977687,0.06108080229874244
f_max-NUCLEAR,0.0243754182464896,0.03422056857927339
avail-WOOD,0.01771447648384469,0.025436578570611542
einv_constr-CAR_NG,0.007125633339066044,0.02296180494599307
other-share_mobility_public_max,0.012942518846559257,0.01922917996569486
einv_constr-PV,0.009733053778246483,0.01852286859436556
einv_constr-BIO_HYDROLYSIS,0.006388562429015782,0.016645884625139617
f_max-WIND_ONSHORE,0.007318572239049211,0.01413870554662987
INDUSTRY-NON_ENERGY,0.0029828914387675623,0.013553740554470449
einv_constr-TRAIN_FREIGHT,0.00016828910969530895,0.01322703010289923
einv_constr-WIND_OFFSHORE,5.15021801252401e-06,0.013134707048495762
f_max-WIND_OFFSHORE,0.0044575256247317094,0.012412786704894827
einv_constr-DHN_COGEN_BIO_HYDROLYSIS,0.00040371011830297223,0.01192649502918056
avail-WET_BIOMASS,0.006138867681361506,0.011334175174710033
TRANSPORTATION-MOBILITY_PASSENGER,0.0033713782525071384,0.010462124703655517
einv_constr-IND_BOILER_OIL,0.0007679785829518191,0.01044779029465228
einv_constr-DHN_COGEN_WOOD,0.0004196272477085026,0.009933349292881019
einv_constr-TRUCK_NG,4.197508420478558e-05,0.009916968474882677
einv_constr-H2_BIOMASS,1.9217103383588886e-05,0.009544749155353496
f_max-DHN_DEEP_GEO,0.004670468119091995,0.009297059968195007
c_pt-PV,0.003923485845524501,0.009275394275353718
einv_op-URANIUM,0.0033905373359001067,0.009194820068122304
einv_constr-METHANE_TO_METHANOL,0.0007627456450941937,0.009031263388735479
einv_op-WET_BIOMASS,0.0027389693573547395,0.00833614514865675
einv_op-H2,0.0003461533979572817,0.008306806161313187
einv_constr-IND_COGEN_GAS,0.0003595958815082472,0.007677930757272454
other-share_heat_dhn_max,5.167592014245635e-05,0.007651589627697151
einv_constr-PYROLYSIS_TO_LFO,0.00011337860258399733,0.007586687813917051
SERVICES-HEAT_LOW_T_SH,0.0006017659378782024,0.007017963344745567
einv_constr-CCGT_AMMONIA,8.519200774932307e-05,0.006785100918123574
einv_constr-DHN_HP_ELEC,0.0005967492503272469,0.005828840539086531
einv_constr-DEC_THHP_GAS,3.918074694599959e-06,0.005822207227225329
c_pt-Wind_onshore,0.0003991057396649731,0.005526689093857062
einv_constr-IND_BOILER_COAL,5.3555370807327495e-05,0.0054972581363236
einv_op-GASOLINE,0.0008185438481018635,0.005408511883549407
einv_constr-DHN_COGEN_WASTE,0.00026682474813345827,0.005312216426616563
einv_constr-GAS_TO_HVC,0.00014177272302936804,0.005250480428886859
einv_constr-CAR_FUEL_CELL,0.00011814172873950276,0.004630797011228825
HOUSEHOLDS-ELECTRICITY,0.0009361000656419075,0.004351592534073593
TRANSPORTATION-MOBILITY_FREIGHT,0.00016291505581249178,0.00415369557899951
einv_op-BIODIESEL,0.00010677879116417394,0.003979347074922655
einv_constr-DHN_DEEP_GEO,0.0001918913865308223,0.003910471969972519
einv_constr-BUS_COACH_FC_HYBRIDH2,0.00014399434115870886,0.0036891361967025813
einv_constr-IND_COGEN_WOOD,5.7300873443323626e-05,0.003131031187719354
